time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1721065726.7328,neutral,frown,0.990021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.7641,neutral,frown,0.990021,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.7954,neutral,frown,0.790981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.8267,neutral,frown,0.790981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.8579,neutral,frown,0.790981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.8893,neutral,frown,0.790981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.9206,neutral,frown,0.489942,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.9519,neutral,frown,0.489942,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065726.9832,neutral,frown,0.489942,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.0146,neutral,frown,0.489942,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.0459,neutral,frown,0.342687,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.0772,neutral,frown,0.342687,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.1085,neutral,frown,0.342687,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.1397,neutral,frown,0.342687,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.1711,neutral,frown,0.257638,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1721065727.1789,4,95,1.0,[4-1-4-4-4-75],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.2024,neutral,frown,0.257638,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.2337,neutral,frown,0.257638,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.265,neutral,frown,0.257638,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.2964,neutral,frown,0.845743,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.3277,neutral,frown,0.845743,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.359,neutral,frown,0.845743,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.3903,blink,frown,0.845743,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.4216,blink,frown,0.993207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.453,blink,frown,0.993207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.4842,blink,frown,0.993207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.5155,blink,frown,0.993207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.5468,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.5782,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.6095,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.6408,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.6721,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1721065727.6721,4,95,1.0,[4-1-4-4-4-75],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.7034,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.7348,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.766,neutral,frown,1.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.7973,neutral,frown,0.652325,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.8286,blink,frown,0.652325,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.8599,blink,frown,0.652325,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.8913,blink,frown,0.652325,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.9226,blink,frown,0.736764,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.9539,blink,frown,0.736764,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065727.9852,neutral,frown,0.736764,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.0166,neutral,frown,0.736764,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.0479,neutral,frown,0.83668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.0791,neutral,frown,0.83668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.1104,neutral,frown,0.83668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.1417,neutral,frown,0.83668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.1731,blink,frown,0.754981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1721065728.1809,4,95,1.0,[4-1-4-4-4-75],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.2044,blink,frown,0.754981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.2357,blink,frown,0.754981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.267,blink,frown,0.754981,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.2984,blink,frown,0.496025,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.3297,neutral,frown,0.496025,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.361,neutral,frown,0.496025,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.3923,neutral,frown,0.496025,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.4235,neutral,frown,0.773262,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.4549,neutral,frown,0.773262,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.4862,neutral,frown,0.773262,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.5175,neutral,frown,0.773262,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.5488,neutral,frown,0.42529,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.5802,neutral,frown,0.42529,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.6115,neutral,frown,0.42529,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.6428,neutral,frown,0.42529,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1721065728.6741,neutral,frown,0.275091,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
