time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722363533.4498,neutral,frown,0.771044,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.4817,neutral,frown,0.771044,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.5135,neutral,frown,0.771044,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.545,neutral,frown,0.771044,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.5763,neutral,frown,0.229832,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.608,neutral,frown,0.229832,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.6391,neutral,frown,0.229832,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.6707,neutral,frown,0.229832,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1722363533.7022,0.469776,0.293812,0.0,0.41125,0.418606,0.493923,0.120054,true,true,true,true,true,true,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1722363533.7022,0.94,0.34,-0.01,,,,,
,,,,,1722363533.7022,neutral,frown,0.143396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722363533.7022,1,28,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.7337,neutral,frown,0.143396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.7656,neutral,frown,0.143396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.7975,neutral,frown,0.143396,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.8293,neutral,frown,0.095715,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.8606,neutral,frown,0.095715,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.8923,neutral,frown,0.095715,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.9236,neutral,frown,0.095715,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.955,neutral,frown,0.511895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363533.9861,neutral,frown,0.511895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.0178,neutral,frown,0.511895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.0493,neutral,frown,0.511895,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.081,neutral,frown,0.550191,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.1122,neutral,frown,0.550191,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.1437,neutral,frown,0.550191,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.1752,neutral,frown,0.550191,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.2069,neutral,frown,0.452571,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722363534.2229,1,28,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.2385,neutral,frown,0.452571,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.2696,neutral,frown,0.452571,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.3007,neutral,frown,0.452571,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.3324,neutral,frown,0.534385,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.3635,neutral,frown,0.534385,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.3955,neutral,frown,0.534385,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.4266,neutral,frown,0.534385,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722363534.458,neutral,frown,0.495882,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
