time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722276796.6067,neutral,surprise,0.016096,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.638,neutral,surprise,0.016235,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.6693,neutral,surprise,0.016235,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.7006,neutral,surprise,0.016235,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.732,neutral,surprise,0.016235,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.7632,neutral,surprise,0.015414,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.7945,neutral,surprise,0.015414,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.8259,neutral,surprise,0.015414,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.8572,neutral,surprise,0.015414,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.8885,neutral,surprise,0.015316,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.9198,neutral,surprise,0.015316,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.9512,neutral,surprise,0.015316,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276796.9825,neutral,surprise,0.015316,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.0138,neutral,surprise,0.016271,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722276797.0138,3,55,1.0,[4-1-0-4-4-42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.0451,neutral,surprise,0.016271,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.0764,neutral,surprise,0.016271,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.1077,blink,surprise,0.016271,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.139,blink,surprise,0.019596,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.1703,blink,surprise,0.019596,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.2017,blink,surprise,0.019596,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.233,blink,surprise,0.019596,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.2643,neutral,surprise,0.013444,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.2957,neutral,surprise,0.013444,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.327,neutral,surprise,0.013444,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.3583,neutral,surprise,0.013444,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.3895,neutral,surprise,0.015047,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.4209,neutral,surprise,0.015047,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.4522,neutral,surprise,0.015047,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.4835,neutral,surprise,0.015047,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.5148,neutral,surprise,0.015664,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722276797.5148,3,55,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.5462,neutral,surprise,0.015664,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.5775,neutral,surprise,0.015664,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.6088,neutral,surprise,0.015664,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.6402,neutral,surprise,0.015841,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.6714,neutral,surprise,0.015841,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.7027,neutral,surprise,0.015841,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.734,neutral,surprise,0.015841,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.7654,neutral,surprise,0.037428,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.7967,neutral,surprise,0.037428,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.828,neutral,surprise,0.037428,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.8593,blink,surprise,0.037428,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.8907,blink,surprise,0.164219,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.922,blink,surprise,0.164219,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.9533,blink,surprise,0.164219,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276797.9845,blink,surprise,0.164219,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.0159,neutral,surprise,0.163035,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722276798.0238,3,55,1.0,[4-4-0-4-4-67],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.0472,neutral,surprise,0.163035,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.0785,neutral,surprise,0.163035,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.1099,neutral,surprise,0.163035,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.1412,neutral,surprise,0.029107,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.1725,neutral,surprise,0.029107,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.2038,neutral,surprise,0.029107,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.2352,neutral,surprise,0.029107,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.2665,neutral,surprise,0.028492,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.2977,neutral,surprise,0.028492,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.329,neutral,surprise,0.028492,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.3604,neutral,surprise,0.028492,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.3917,neutral,surprise,0.039172,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.423,neutral,surprise,0.039172,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.4544,neutral,surprise,0.039172,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.4857,neutral,surprise,0.039172,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.517,neutral,surprise,0.068403,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722276798.517,3,55,1.0,[4-0-1-4-4-42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.5483,neutral,surprise,0.068403,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.5797,neutral,surprise,0.068403,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.6109,neutral,surprise,0.068403,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.6422,neutral,frown,0.022142,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.6735,neutral,frown,0.022142,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.7049,neutral,frown,0.022142,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.7362,neutral,frown,0.022142,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.7675,neutral,surprise,0.01506,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.7988,neutral,surprise,0.01506,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.8302,neutral,surprise,0.01506,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.8615,neutral,surprise,0.01506,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.8928,neutral,surprise,0.013447,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.9243,neutral,surprise,0.013447,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.9556,neutral,surprise,0.013447,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722276798.9869,neutral,surprise,0.013447,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1722276799.0182,0.226579,0.280438,0.0,0.309089,0.369864,0.44652,-1,true,true,true,true,true,false,,,,,,,,,
