time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1720809956.3872,neutral,frown,0.204723,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.4188,neutral,frown,0.204723,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.4506,neutral,frown,0.204723,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.4823,neutral,frown,0.204723,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.5141,neutral,frown,0.218995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1720809956.522,2,35,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.5458,neutral,frown,0.218995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.5775,neutral,frown,0.218995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.6093,neutral,frown,0.218995,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.6409,neutral,frown,0.175143,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.6726,neutral,frown,0.175143,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.7044,neutral,frown,0.175143,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.7361,neutral,frown,0.175143,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.7679,neutral,frown,0.136894,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.7996,neutral,frown,0.136894,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.8313,neutral,frown,0.136894,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.8631,neutral,frown,0.136894,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.8948,neutral,frown,0.21207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.9265,neutral,frown,0.21207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.9583,neutral,frown,0.21207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809956.9901,neutral,frown,0.21207,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.0218,neutral,neutral,0.0,smile,0.467921,,,,,,,,,,,,,,,,,,,,,,,
1720809957.0218,2,35,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.0536,neutral,neutral,0.0,smile,0.467921,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.0854,neutral,neutral,0.0,smile,0.467921,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.1171,neutral,neutral,0.0,smile,0.467921,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.1488,neutral,frown,0.266699,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.1806,neutral,frown,0.266699,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720809957.2123,neutral,frown,0.266699,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
