time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722360576.1793,neutral,frown,0.077114,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.211,neutral,frown,0.096668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722360576.211,0,10,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.2423,neutral,frown,0.096668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.2738,neutral,frown,0.096668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.3056,neutral,frown,0.096668,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.3371,neutral,frown,0.175873,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.3682,neutral,frown,0.175873,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.3997,neutral,frown,0.175873,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.4313,neutral,frown,0.175873,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.4628,neutral,frown,0.144221,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.4945,neutral,frown,0.144221,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.5258,neutral,frown,0.144221,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.5573,neutral,frown,0.144221,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.5891,neutral,frown,0.135495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.6208,neutral,frown,0.135495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.6527,neutral,frown,0.135495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.6838,neutral,frown,0.135495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1722360576.7154,0.523337,0.309715,0.0,0.335703,0.352936,0.478454,0.583034,true,true,true,true,true,true,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1722360576.7154,0.98,0.11,0.18,,,,,
,,,,,1722360576.7154,neutral,frown,0.104255,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722360576.7309,0,10,1.0,[4-4-2-4-4-83],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.7465,neutral,frown,0.104255,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.778,neutral,frown,0.104255,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.8095,neutral,frown,0.104255,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.841,neutral,frown,0.12998,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.8728,neutral,frown,0.12998,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.9043,neutral,frown,0.12998,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.9358,neutral,frown,0.12998,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.9671,neutral,frown,0.116298,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360576.9985,neutral,frown,0.116298,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.0302,neutral,frown,0.116298,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.0617,neutral,frown,0.116298,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.0934,neutral,frown,0.117395,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.1247,neutral,frown,0.117395,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.1567,neutral,frown,0.117395,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.188,neutral,frown,0.117395,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.2199,neutral,neutral,0.0,laugh,0.694331,,,,,,,,,,,,,,,,,,,,,,,
1722360577.2277,0,10,1.0,[4-4-2-4-4-83],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.2514,neutral,neutral,0.0,laugh,0.694331,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.2829,neutral,neutral,0.0,laugh,0.694331,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.3143,neutral,neutral,0.0,laugh,0.694331,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722360577.3458,neutral,neutral,0.0,laugh,0.536388,,,,,,,,,,,,,,,,,,,,,,,
