time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722277575.9932,neutral,frown,0.418515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722277576.0011,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.0249,neutral,frown,0.418515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.0568,neutral,frown,0.418515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.0884,neutral,frown,0.418515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.1202,neutral,frown,0.725698,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.1517,neutral,frown,0.725698,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.1832,neutral,frown,0.725698,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.2149,neutral,frown,0.725698,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.2461,neutral,frown,0.713344,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.2774,neutral,frown,0.713344,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.3087,neutral,frown,0.713344,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.34,neutral,frown,0.713344,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.3714,neutral,frown,0.699663,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.4027,neutral,frown,0.699663,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.434,neutral,frown,0.699663,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.4653,neutral,frown,0.699663,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.4967,neutral,frown,0.65829,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722277576.5046,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.5285,neutral,frown,0.65829,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.5602,neutral,frown,0.65829,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.5919,neutral,frown,0.65829,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.6236,neutral,frown,0.433937,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.6553,neutral,frown,0.433937,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.687,neutral,frown,0.433937,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.7185,neutral,frown,0.433937,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.7498,neutral,frown,0.29159,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.7811,neutral,frown,0.29159,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.8124,neutral,frown,0.29159,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.8438,neutral,frown,0.29159,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.875,neutral,frown,0.247964,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.9063,neutral,frown,0.247964,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.9376,neutral,frown,0.247964,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277576.9689,neutral,frown,0.247964,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.0002,neutral,frown,0.214118,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722277577.0002,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.0318,neutral,frown,0.214118,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.0636,neutral,frown,0.214118,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.0951,neutral,frown,0.214118,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.1266,neutral,frown,0.296515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.1581,neutral,frown,0.296515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.1893,neutral,frown,0.296515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.2206,neutral,frown,0.296515,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.2519,neutral,frown,0.624755,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.2832,neutral,frown,0.624755,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.3146,neutral,frown,0.624755,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.3459,neutral,frown,0.624755,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.3772,neutral,frown,0.971338,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.4085,neutral,frown,0.971338,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.4398,neutral,frown,0.971338,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.4711,neutral,frown,0.971338,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.5027,neutral,frown,0.760592,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722277577.5027,3,55,0.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.5343,neutral,frown,0.760592,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.5658,neutral,frown,0.760592,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.5972,neutral,frown,0.760592,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.6287,neutral,frown,0.809594,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.6601,neutral,frown,0.809594,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.6914,neutral,frown,0.809594,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.723,neutral,frown,0.809594,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.7547,neutral,frown,0.272011,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722277577.7866,neutral,frown,0.272011,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
