time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1720756467.4689,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.5001,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.5314,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
1720756467.5314,0,20,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.5626,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.5939,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.6251,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.6564,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.6876,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.7189,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.7501,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.7814,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.8126,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.8439,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.8751,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.9064,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.9376,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756467.9689,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.0001,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.0314,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
1720756468.0314,0,20,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.0626,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.0939,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.1251,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.1564,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.1876,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.2189,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.2501,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.2814,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.3126,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.3439,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.3751,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.4064,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.4376,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.4689,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.5001,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.5314,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
1720756468.5314,0,20,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.5626,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.5939,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.6251,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.6564,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.6876,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.7189,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.7501,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.7814,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.8126,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.8439,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.8751,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.9064,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.9376,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756468.9689,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756469.0001,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756469.0314,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
1720756469.0314,0,20,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756469.0626,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756469.0939,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1720756469.1251,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,,
