Time,Timestamp,Pleasure,Arousal,Dominance
1722054288.1949,2024-07-26 21:24:48.194,0.92,-0.19,0.35
1722054288.6949,2024-07-26 21:24:48.694,0.92,-0.19,0.35
1722054289.1949,2024-07-26 21:24:49.194,0.91,-0.20,0.36
1722054289.6949,2024-07-26 21:24:49.694,0.92,-0.19,0.35
1722054290.1949,2024-07-26 21:24:50.194,0.92,-0.19,0.35
1722054290.6949,2024-07-26 21:24:50.694,0.92,-0.19,0.35
1722054291.1949,2024-07-26 21:24:51.194,0.92,-0.18,0.35
1722054291.6949,2024-07-26 21:24:51.694,0.92,-0.18,0.34
1722054292.1949,2024-07-26 21:24:52.194,0.92,-0.17,0.35
1722054292.6949,2024-07-26 21:24:52.694,0.92,-0.17,0.34
1722054293.1949,2024-07-26 21:24:53.194,0.93,-0.16,0.34
1722054293.6949,2024-07-26 21:24:53.694,0.93,-0.15,0.34
1722054294.1949,2024-07-26 21:24:54.194,0.93,-0.14,0.34
1722054294.6949,2024-07-26 21:24:54.694,0.94,-0.13,0.33
1722054295.1949,2024-07-26 21:24:55.194,0.94,-0.12,0.33
1722054295.6949,2024-07-26 21:24:55.694,0.94,-0.12,0.33
1722054296.1949,2024-07-26 21:24:56.194,0.94,-0.12,0.33
1722054296.6949,2024-07-26 21:24:56.694,0.94,-0.11,0.32
1722054297.1949,2024-07-26 21:24:57.194,0.94,-0.11,0.32
1722054297.6949,2024-07-26 21:24:57.694,0.94,-0.11,0.32
1722054298.1949,2024-07-26 21:24:58.194,0.94,-0.11,0.32
1722054298.6949,2024-07-26 21:24:58.694,0.94,-0.12,0.32
1722054299.1949,2024-07-26 21:24:59.194,0.94,-0.12,0.32
1722054299.6949,2024-07-26 21:24:59.694,0.94,-0.13,0.32
1722054300.1949,2024-07-26 21:25:00.194,0.94,-0.14,0.32
1722054300.6949,2024-07-26 21:25:00.694,0.94,-0.14,0.32
1722054301.1949,2024-07-26 21:25:01.194,0.93,-0.15,0.33
1722054301.6949,2024-07-26 21:25:01.694,0.93,-0.16,0.32
1722054302.1949,2024-07-26 21:25:02.194,0.93,-0.16,0.33
1722054302.6949,2024-07-26 21:25:02.694,0.93,-0.16,0.33
1722054303.1949,2024-07-26 21:25:03.194,0.93,-0.18,0.33
1722054303.6949,2024-07-26 21:25:03.694,0.93,-0.18,0.32
1722054304.1949,2024-07-26 21:25:04.194,0.93,-0.18,0.33
1722054304.6949,2024-07-26 21:25:04.694,0.93,-0.18,0.33
1722054305.1949,2024-07-26 21:25:05.194,0.93,-0.19,0.33
1722054305.6949,2024-07-26 21:25:05.694,0.93,-0.18,0.33
1722054306.1949,2024-07-26 21:25:06.194,0.93,-0.19,0.33
1722054306.6949,2024-07-26 21:25:06.694,0.92,-0.19,0.33
1722054307.1949,2024-07-26 21:25:07.194,0.92,-0.19,0.33
1722054307.6949,2024-07-26 21:25:07.694,0.93,-0.18,0.33
1722054308.1949,2024-07-26 21:25:08.194,0.93,-0.18,0.33
