Time,Timestamp,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1722051821.9409,2024-07-26 20:43:41.940,2,false,0.446587,-0.30127,0.585205,0.606079,0.884779,-0.438239,-0.133181,-0.045579,0.001963,0.055237
1722051821.9721,2024-07-26 20:43:41.972,3,false,0.446421,-0.30127,0.585205,0.606201,0.884779,-0.438239,-0.133181,-0.045574,0.001975,0.055207
1722051822.0034,2024-07-26 20:43:42.003,4,false,0.446462,-0.301086,0.585205,0.606262,0.883314,-0.437751,-0.118044,-0.04557,0.001985,0.055155
1722051822.0346,2024-07-26 20:43:42.034,5,false,0.446423,-0.301147,0.585266,0.606201,0.885756,-0.431891,-0.130739,-0.045701,0.002018,0.055133
1722051822.0659,2024-07-26 20:43:42.065,6,false,0.446503,-0.301147,0.585205,0.606201,0.885756,-0.431891,-0.130739,-0.045818,0.002048,0.055113
1722051822.0971,2024-07-26 20:43:42.097,7,false,0.446589,-0.301025,0.585266,0.60614,0.878431,-0.438239,-0.120974,-0.045814,0.002002,0.055119
1722051822.1284,2024-07-26 20:43:42.128,8,false,0.446594,-0.301025,0.585388,0.606018,0.872084,-0.447028,-0.12781,-0.045762,0.002009,0.0551
1722051822.1596,2024-07-26 20:43:42.159,9,false,0.446503,-0.301147,0.585205,0.606201,0.883314,-0.437751,-0.118044,-0.045934,0.00204,0.055145
1722051822.1909,2024-07-26 20:43:42.190,10,false,0.446718,-0.300964,0.585388,0.605957,0.880873,-0.434333,-0.126833,-0.046089,0.002068,0.055184
1722051822.2221,2024-07-26 20:43:42.222,11,false,0.446597,-0.301025,0.585449,0.605957,0.871595,-0.433845,-0.128298,-0.04618,0.001935,0.055184
1722051822.2534,2024-07-26 20:43:42.253,12,false,0.4466,-0.301147,0.58551,0.605835,0.872084,-0.424079,-0.122438,-0.046176,0.001888,0.055256
1722051822.2846,2024-07-26 20:43:42.284,13,false,0.446479,-0.301086,0.585571,0.605896,0.872084,-0.424079,-0.122438,-0.046112,0.001809,0.055224
1722051822.3159,2024-07-26 20:43:42.315,14,false,0.446274,-0.301025,0.585632,0.606018,0.899916,-0.433845,-0.118532,-0.046054,0.001713,0.055195
1722051822.3471,2024-07-26 20:43:42.347,15,false,0.446197,-0.301025,0.585754,0.605957,0.87013,-0.445075,-0.130251,-0.046026,0.00164,0.055193
1722051822.3784,2024-07-26 20:43:42.378,16,false,0.446398,-0.300964,0.585632,0.605957,0.87013,-0.445075,-0.130251,-0.046063,0.00161,0.055252
1722051822.4096,2024-07-26 20:43:42.409,17,false,0.446113,-0.300903,0.585754,0.606079,0.871107,-0.435309,-0.140017,-0.046046,0.001681,0.055281
1722051822.4409,2024-07-26 20:43:42.440,18,false,0.446151,-0.30072,0.585693,0.606201,0.888685,-0.435309,-0.126833,-0.046019,0.001672,0.055295
1722051822.4721,2024-07-26 20:43:42.472,19,false,0.446272,-0.300659,0.585632,0.606201,0.888685,-0.435309,-0.126833,-0.045995,0.001663,0.055308
1722051822.5034,2024-07-26 20:43:42.503,20,false,0.446231,-0.300598,0.585632,0.606262,0.880385,-0.435798,-0.140017,-0.0459,0.001631,0.05538
1722051822.5346,2024-07-26 20:43:42.534,21,false,0.446355,-0.300659,0.585632,0.60614,0.887709,-0.437263,-0.126833,-0.0459,0.001614,0.055311
1722051822.5659,2024-07-26 20:43:42.565,22,false,0.446317,-0.30072,0.585693,0.606079,0.87306,-0.42652,-0.128786,-0.045839,0.001722,0.055371
1722051822.5971,2024-07-26 20:43:42.597,23,false,0.446157,-0.30072,0.585815,0.606079,0.876967,-0.42945,-0.138552,-0.045857,0.001647,0.055437
1722051822.6284,2024-07-26 20:43:42.628,24,false,0.446157,-0.30072,0.585815,0.606079,0.878431,-0.425544,-0.125368,-0.045935,0.001702,0.055313
1722051822.6596,2024-07-26 20:43:42.659,25,false,0.446035,-0.300781,0.585876,0.606079,0.878431,-0.425544,-0.125368,-0.046004,0.001752,0.055202
1722051822.6909,2024-07-26 20:43:42.690,26,false,0.445994,-0.300842,0.585876,0.606079,0.879896,-0.448005,-0.134646,-0.045994,0.001784,0.055212
1722051822.7221,2024-07-26 20:43:42.722,27,false,0.446035,-0.300659,0.585876,0.60614,0.884291,-0.433845,-0.135134,-0.045874,0.001825,0.055232
1722051822.7534,2024-07-26 20:43:42.753,28,false,0.445911,-0.30072,0.585876,0.606201,0.884291,-0.433845,-0.135134,-0.045877,0.001911,0.055239
1722051822.7846,2024-07-26 20:43:42.784,29,false,0.445869,-0.300659,0.585876,0.606262,0.885756,-0.443122,-0.128786,-0.045928,0.00194,0.055196
1722051822.8159,2024-07-26 20:43:42.815,30,false,0.445863,-0.300659,0.585754,0.606384,0.881849,-0.436774,-0.122927,-0.045949,0.001892,0.055121
