time,timestamp,counter,SAM-selectionP,SAM-selectionA,SAM-selectionD
1722050696.683529000,2024-07-26 20:24:56.683,1,0,0,0
1722050700.000285000,2024-07-26 20:25:00.000,2,1,1,1
