time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054290.1324,2024-07-26 21:24:50.132,neutral,frown,0.95,clench,0.8
1722054290.1637,2024-07-26 21:24:50.163,neutral,frown,0.95,clench,0.8
1722054290.1949,2024-07-26 21:24:50.194,neutral,frown,0.95,clench,0.8
1722054290.2262,2024-07-26 21:24:50.226,neutral,frown,0.95,clench,0.8
1722054290.2574,2024-07-26 21:24:50.257,neutral,frown,0.95,clench,0.8
1722054290.2887,2024-07-26 21:24:50.288,neutral,frown,0.95,clench,0.8
1722054290.3199,2024-07-26 21:24:50.319,neutral,frown,0.95,clench,0.8
1722054290.3512,2024-07-26 21:24:50.351,neutral,frown,0.95,clench,0.8
1722054290.3824,2024-07-26 21:24:50.382,neutral,frown,0.95,clench,0.8
1722054290.4137,2024-07-26 21:24:50.413,neutral,frown,0.95,clench,0.8
1722054290.4449,2024-07-26 21:24:50.444,neutral,frown,0.95,clench,0.8
1722054290.4762,2024-07-26 21:24:50.476,neutral,frown,0.95,clench,0.8
1722054290.5074,2024-07-26 21:24:50.507,neutral,frown,0.95,clench,0.8
1722054290.5387,2024-07-26 21:24:50.538,neutral,frown,0.95,clench,0.8
1722054290.5699,2024-07-26 21:24:50.569,neutral,frown,0.95,clench,0.8
1722054290.6012,2024-07-26 21:24:50.601,neutral,frown,0.95,clench,0.8
1722054290.6324,2024-07-26 21:24:50.632,neutral,frown,0.95,clench,0.8
1722054290.6637,2024-07-26 21:24:50.663,neutral,frown,0.95,clench,0.8
1722054290.6949,2024-07-26 21:24:50.694,neutral,frown,0.95,clench,0.8
1722054290.7262,2024-07-26 21:24:50.726,neutral,frown,0.95,clench,0.8
1722054290.7574,2024-07-26 21:24:50.757,neutral,frown,0.95,clench,0.8
1722054290.7887,2024-07-26 21:24:50.788,neutral,frown,0.95,clench,0.8
1722054290.8199,2024-07-26 21:24:50.819,neutral,frown,0.95,clench,0.8
1722054290.8512,2024-07-26 21:24:50.851,neutral,frown,0.95,clench,0.8
1722054290.8824,2024-07-26 21:24:50.882,neutral,frown,0.95,clench,0.8
1722054290.9137,2024-07-26 21:24:50.913,neutral,frown,0.95,clench,0.8
1722054290.9449,2024-07-26 21:24:50.944,neutral,frown,0.95,clench,0.8
1722054290.9762,2024-07-26 21:24:50.976,neutral,frown,0.95,clench,0.8
1722054291.0074,2024-07-26 21:24:51.007,neutral,frown,0.95,clench,0.8
1722054291.0387,2024-07-26 21:24:51.038,neutral,frown,0.95,clench,0.8
1722054291.0699,2024-07-26 21:24:51.069,neutral,frown,0.95,clench,0.8
1722054291.1012,2024-07-26 21:24:51.101,neutral,frown,0.95,clench,0.8
1722054291.1324,2024-07-26 21:24:51.132,neutral,frown,0.95,clench,0.8
1722054291.1637,2024-07-26 21:24:51.163,neutral,frown,0.95,clench,0.8
