Time,Timestamp,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1722050305.7846,2024-07-26 20:18:25.784,29,false,0.44705,-0.299622,0.583923,0.607788,0.871595,-0.44654,-0.144411,-0.045752,0.001842,0.055084
1722050305.8159,2024-07-26 20:18:25.815,30,false,0.446928,-0.299805,0.583923,0.607788,0.889174,-0.439704,-0.132204,-0.045669,0.001866,0.055069
1722050305.8471,2024-07-26 20:18:25.847,31,false,0.447055,-0.299744,0.583984,0.607666,0.876478,-0.433845,-0.142947,-0.045643,0.001777,0.055141
1722050305.8784,2024-07-26 20:18:25.878,0,false,0.446933,-0.299683,0.584045,0.607727,0.880385,-0.440681,-0.13611,-0.045669,0.001746,0.05512
1722050305.9096,2024-07-26 20:18:25.909,1,false,0.446811,-0.299622,0.584106,0.607788,0.877943,-0.445075,-0.133669,-0.045679,0.001766,0.055089
1722050305.9409,2024-07-26 20:18:25.940,2,false,0.446648,-0.299622,0.584167,0.607849,0.877943,-0.445075,-0.133669,-0.045665,0.001797,0.055232
1722050305.9721,2024-07-26 20:18:25.972,3,false,0.446567,-0.2995,0.584229,0.60791,0.882338,-0.437263,-0.140017,-0.045652,0.001703,0.055178
1722050306.0034,2024-07-26 20:18:26.003,4,false,0.446726,-0.299377,0.584106,0.607971,0.886244,-0.438727,-0.130251,-0.045664,0.001789,0.055202
1722050306.0346,2024-07-26 20:18:26.034,5,false,0.446846,-0.299316,0.584045,0.607971,0.886244,-0.438727,-0.130251,-0.045675,0.001866,0.055224
1722050306.0659,2024-07-26 20:18:26.065,6,false,0.446929,-0.299316,0.584045,0.60791,0.877943,-0.444587,-0.13904,-0.045795,0.001851,0.055231
1722050306.0971,2024-07-26 20:18:26.097,7,false,0.446892,-0.299377,0.584106,0.607849,0.882338,-0.444099,-0.13904,-0.045757,0.0018,0.055226
1722050306.1284,2024-07-26 20:18:26.128,8,false,0.446932,-0.299561,0.584045,0.607788,0.882338,-0.444099,-0.13904,-0.045722,0.001754,0.055221
1722050306.1596,2024-07-26 20:18:26.159,9,false,0.446975,-0.299744,0.584045,0.607666,0.879896,-0.440192,-0.130251,-0.045642,0.001628,0.055314
1722050306.1909,2024-07-26 20:18:26.190,10,false,0.446892,-0.299377,0.584106,0.607849,0.879896,-0.440192,-0.130251,-0.045656,0.001538,0.0553
1722050306.2221,2024-07-26 20:18:26.222,11,false,0.446854,-0.299805,0.584106,0.607666,0.881849,-0.434821,-0.127321,-0.04568,0.001592,0.055325
1722050306.2534,2024-07-26 20:18:26.253,12,false,0.44681,-0.299866,0.584045,0.607727,0.880873,-0.442145,-0.13611,-0.045617,0.001652,0.055334
1722050306.2846,2024-07-26 20:18:26.284,13,false,0.446765,-0.299805,0.583984,0.607849,0.880873,-0.442145,-0.13611,-0.045559,0.001707,0.055343
1722050306.3159,2024-07-26 20:18:26.315,14,false,0.446727,-0.299866,0.584045,0.607788,0.889174,-0.44361,-0.127321,-0.045484,0.00167,0.055229
1722050306.3471,2024-07-26 20:18:26.347,15,false,0.446771,-0.299805,0.584106,0.607727,0.871595,-0.44654,-0.129763,-0.045525,0.00165,0.055199
1722050306.3784,2024-07-26 20:18:26.378,16,false,0.446807,-0.299866,0.583984,0.607788,0.871595,-0.44654,-0.129763,-0.045562,0.001631,0.055172
1722050306.4096,2024-07-26 20:18:26.409,17,false,0.446804,-0.299866,0.583923,0.607849,0.870619,-0.433356,-0.120485,-0.045657,0.001578,0.055124
1722050306.4409,2024-07-26 20:18:26.440,18,false,0.446842,-0.299927,0.583862,0.607849,0.87306,-0.448981,-0.141482,-0.045694,0.00164,0.055032
1722050306.4721,2024-07-26 20:18:26.472,19,false,0.446846,-0.299927,0.583923,0.607788,0.87306,-0.448981,-0.141482,-0.045739,0.001708,0.054997
1722050306.5034,2024-07-26 20:18:26.503,20,false,0.446929,-0.299927,0.583923,0.607727,0.878431,-0.441657,-0.147829,-0.045816,0.001708,0.055088
1722050306.5346,2024-07-26 20:18:26.534,21,false,0.446929,-0.299927,0.583923,0.607727,0.871107,-0.448981,-0.139528,-0.045726,0.001769,0.055048
1722050306.5659,2024-07-26 20:18:26.565,22,false,0.447089,-0.300049,0.583801,0.607666,0.871107,-0.448981,-0.139528,-0.045646,0.001824,0.055012
1722050306.5971,2024-07-26 20:18:26.597,23,false,0.447297,-0.30011,0.583801,0.607483,0.871107,-0.448981,-0.139528,-0.045574,0.001874,0.05498
1722050306.6284,2024-07-26 20:18:26.628,24,false,0.447256,-0.300171,0.583801,0.607483,0.877455,-0.447517,-0.140993,-0.045679,0.001821,0.054902
1722050306.6596,2024-07-26 20:18:26.659,25,false,0.447292,-0.300232,0.583679,0.607544,0.887709,-0.437751,-0.135622,-0.045689,0.001773,0.054868
1722050306.6909,2024-07-26 20:18:26.690,26,false,0.447292,-0.300232,0.583679,0.607544,0.887709,-0.437751,-0.135622,-0.04571,0.001766,0.05485
1722050306.7221,2024-07-26 20:18:26.722,27,false,0.447288,-0.300232,0.583618,0.607605,0.87599,-0.431891,-0.135622,-0.045717,0.001687,0.054846
1722050306.7534,2024-07-26 20:18:26.753,28,false,0.447209,-0.300232,0.583679,0.607605,0.880385,-0.438727,-0.138552,-0.045723,0.001714,0.054904
1722050306.7846,2024-07-26 20:18:26.784,29,false,0.447171,-0.300293,0.58374,0.607544,0.880385,-0.438727,-0.138552,-0.045728,0.001738,0.054956
1722050306.8159,2024-07-26 20:18:26.815,30,false,0.447245,-0.300415,0.583557,0.607605,0.873549,-0.437751,-0.140993,-0.045697,0.001845,0.055063
1722050306.8471,2024-07-26 20:18:26.847,31,false,0.447284,-0.300476,0.583496,0.607605,0.874525,-0.438727,-0.143435,-0.045705,0.001795,0.055135
1722050306.8784,2024-07-26 20:18:26.878,0,false,0.447281,-0.300598,0.583435,0.607605,0.874525,-0.438727,-0.143435,-0.045712,0.00175,0.055201
1722050306.9096,2024-07-26 20:18:26.909,1,false,0.447399,-0.300659,0.583313,0.607605,0.882826,-0.434821,-0.137087,-0.045609,0.001782,0.055149
1722050306.9409,2024-07-26 20:18:26.940,2,false,0.4474,-0.300781,0.583313,0.607544,0.882338,-0.441169,-0.138064,-0.04565,0.001799,0.055177
1722050306.9721,2024-07-26 20:18:26.972,3,false,0.447281,-0.300598,0.583435,0.607605,0.873549,-0.437751,-0.140993,-0.045663,0.0019,0.055201
1722050307.0034,2024-07-26 20:18:27.003,4,false,0.447446,-0.300964,0.583374,0.607361,0.877455,-0.432868,-0.139528,-0.045601,0.001783,0.055162
1722050307.0346,2024-07-26 20:18:27.034,5,false,0.447481,-0.300903,0.583252,0.607483,0.876967,-0.442634,-0.138064,-0.045643,0.0018,0.055188
1722050307.0659,2024-07-26 20:18:27.065,6,false,0.447401,-0.300903,0.583313,0.607483,0.881849,-0.434821,-0.128298,-0.045632,0.00173,0.055077
1722050307.0971,2024-07-26 20:18:27.097,7,false,0.447398,-0.300903,0.583252,0.607544,0.881849,-0.434821,-0.128298,-0.045622,0.001667,0.054977
1722050307.1284,2024-07-26 20:18:27.128,8,false,0.44728,-0.300842,0.583374,0.607544,0.881849,-0.433356,-0.129763,-0.045637,0.001659,0.05496
1722050307.1596,2024-07-26 20:18:27.159,9,false,0.447366,-0.300842,0.583435,0.607422,0.883314,-0.442145,-0.13904,-0.045627,0.001579,0.054957
1722050307.1909,2024-07-26 20:18:27.190,10,false,0.447489,-0.300659,0.583435,0.607422,0.883314,-0.442145,-0.13904,-0.045618,0.001506,0.054955
1722050307.2221,2024-07-26 20:18:27.222,11,false,0.447693,-0.30072,0.583374,0.6073,0.885267,-0.444587,-0.132204,-0.045634,0.001514,0.05488
1722050307.2534,2024-07-26 20:18:27.253,12,false,0.447773,-0.30072,0.583313,0.6073,0.880385,-0.438727,-0.131228,-0.04566,0.00157,0.054946
1722050307.2846,2024-07-26 20:18:27.284,13,false,0.447808,-0.300781,0.583191,0.607361,0.880385,-0.438727,-0.131228,-0.045586,0.001706,0.054981
1722050307.3159,2024-07-26 20:18:27.315,14,false,0.447932,-0.300842,0.583191,0.607239,0.874037,-0.427008,-0.128298,-0.045532,0.001755,0.054903
1722050307.3471,2024-07-26 20:18:27.347,15,false,0.448013,-0.301086,0.58313,0.607117,0.886244,-0.445075,-0.123903,-0.045459,0.001739,0.054833
1722050307.3784,2024-07-26 20:18:27.378,16,false,0.448214,-0.301147,0.583008,0.607056,0.874037,-0.439704,-0.128786,-0.045405,0.001675,0.054879
1722050307.4096,2024-07-26 20:18:27.409,17,false,0.448172,-0.301086,0.583008,0.607117,0.870619,-0.433845,-0.130739,-0.045357,0.001715,0.054885
1722050307.4409,2024-07-26 20:18:27.440,18,false,0.448252,-0.301208,0.582947,0.607056,0.882826,-0.438239,-0.137087,-0.045436,0.001751,0.05478
