Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050306.0112,2024-07-26 20:18:26.011,17,false,0.0,4245.0, 4356.282, 4127.436, 4186.795, 4318.718
1722050306.019,2024-07-26 20:18:26.019,18,false,0.0,4242.82, 4360.769, 4121.923, 4184.744, 4316.282
1722050306.0268,2024-07-26 20:18:26.026,19,false,0.0,4250.0, 4372.82, 4125.128, 4182.949, 4320.513
1722050306.0346,2024-07-26 20:18:26.034,20,false,0.0,4248.59, 4355.897, 4120.128, 4175.769, 4315.128
1722050306.0424,2024-07-26 20:18:26.042,21,false,0.0,4250.128, 4339.103, 4112.692, 4176.667, 4306.667
1722050306.0502,2024-07-26 20:18:26.050,22,false,0.0,4264.615, 4360.256, 4123.333, 4182.18, 4316.41
1722050306.058,2024-07-26 20:18:26.058,23,false,0.0,4276.923, 4372.051, 4136.539, 4190.769, 4336.026
1722050306.0659,2024-07-26 20:18:26.065,24,false,0.0,4273.461, 4351.795, 4133.205, 4201.026, 4336.41
1722050306.0737,2024-07-26 20:18:26.073,25,false,0.0,4266.923, 4356.667, 4135.641, 4208.974, 4330.385
1722050306.0815,2024-07-26 20:18:26.081,26,false,0.0,4268.846, 4382.436, 4147.564, 4219.872, 4332.308
1722050306.0893,2024-07-26 20:18:26.089,27,false,0.0,4267.051, 4375.641, 4140.128, 4221.667, 4314.487
1722050306.0971,2024-07-26 20:18:26.097,28,false,0.0,4264.359, 4362.564, 4128.077, 4206.154, 4294.103
1722050306.1049,2024-07-26 20:18:26.104,29,false,0.0,4269.615, 4371.795, 4132.692, 4195.256, 4305.128
1722050306.1127,2024-07-26 20:18:26.112,30,false,0.0,4261.667, 4368.333, 4125.385, 4186.41, 4303.846
1722050306.1205,2024-07-26 20:18:26.120,31,false,0.0,4243.59, 4353.974, 4110.641, 4173.718, 4281.539
1722050306.1284,2024-07-26 20:18:26.128,32,false,0.0,4250.641, 4358.846, 4121.539, 4187.82, 4293.205
1722050306.1362,2024-07-26 20:18:26.136,33,false,0.0,4267.692, 4363.59, 4135.256, 4215.897, 4315.0
1722050306.144,2024-07-26 20:18:26.144,34,false,0.0,4263.205, 4359.487, 4133.461, 4217.051, 4306.41
1722050306.1518,2024-07-26 20:18:26.151,35,false,0.0,4253.461, 4367.308, 4136.667, 4212.692, 4300.897
1722050306.1596,2024-07-26 20:18:26.159,36,false,0.0,4252.564, 4372.692, 4134.615, 4218.59, 4304.487
1722050306.1674,2024-07-26 20:18:26.167,37,false,0.0,4253.205, 4360.769, 4122.692, 4211.795, 4300.769
1722050306.1752,2024-07-26 20:18:26.175,38,false,0.0,4252.051, 4353.333, 4124.359, 4200.513, 4299.615
1722050306.183,2024-07-26 20:18:26.183,39,false,0.0,4238.077, 4357.436, 4129.231, 4192.436, 4288.333
1722050306.1909,2024-07-26 20:18:26.190,40,false,0.0,4221.41, 4359.744, 4127.82, 4181.154, 4274.615
1722050306.1987,2024-07-26 20:18:26.198,41,false,0.0,4230.897, 4357.564, 4136.154, 4190.256, 4292.18
1722050306.2065,2024-07-26 20:18:26.206,42,false,0.0,4243.333, 4346.667, 4132.308, 4213.077, 4305.0
1722050306.2143,2024-07-26 20:18:26.214,43,false,0.0,4228.718, 4335.0, 4102.949, 4211.539, 4285.513
1722050306.2221,2024-07-26 20:18:26.222,44,false,0.0,4221.795, 4351.539, 4091.026, 4203.974, 4279.744
1722050306.2299,2024-07-26 20:18:26.229,45,false,0.0,4240.897, 4381.282, 4104.615, 4211.667, 4289.744
1722050306.2377,2024-07-26 20:18:26.237,46,false,0.0,4251.026, 4372.18, 4108.205, 4209.872, 4285.513
1722050306.2455,2024-07-26 20:18:26.245,47,false,0.0,4246.795, 4348.333, 4107.18, 4198.333, 4282.18
1722050306.2534,2024-07-26 20:18:26.253,48,false,0.0,4248.846, 4367.18, 4120.641, 4194.359, 4285.256
1722050306.2612,2024-07-26 20:18:26.261,49,false,0.0,4250.641, 4383.333, 4131.41, 4192.308, 4288.333
1722050306.269,2024-07-26 20:18:26.269,50,false,0.0,4246.539, 4347.308, 4124.231, 4194.103, 4297.308
1722050306.2768,2024-07-26 20:18:26.276,51,false,0.0,4243.974, 4321.795, 4112.564, 4198.461, 4294.872
1722050306.2846,2024-07-26 20:18:26.284,52,false,0.0,4241.282, 4339.231, 4109.231, 4196.282, 4280.0
1722050306.2924,2024-07-26 20:18:26.292,53,false,0.0,4239.744, 4353.333, 4111.154, 4200.385, 4280.897
1722050306.3002,2024-07-26 20:18:26.300,54,false,0.0,4242.436, 4363.59, 4114.615, 4211.026, 4285.641
1722050306.308,2024-07-26 20:18:26.308,55,false,0.0,4237.308, 4372.051, 4116.026, 4205.769, 4277.692
1722050306.3159,2024-07-26 20:18:26.315,56,false,0.0,4226.41, 4353.846, 4110.385, 4196.282, 4277.564
1722050306.3237,2024-07-26 20:18:26.323,57,false,0.0,4234.103, 4352.18, 4112.051, 4205.128, 4289.615
1722050306.3315,2024-07-26 20:18:26.331,58,false,0.0,4250.769, 4381.539, 4122.564, 4213.077, 4296.539
1722050306.3393,2024-07-26 20:18:26.339,59,false,0.0,4239.103, 4368.846, 4107.692, 4198.59, 4283.974
1722050306.3471,2024-07-26 20:18:26.347,60,false,0.0,4208.205, 4331.923, 4076.41, 4181.923, 4256.539
1722050306.3549,2024-07-26 20:18:26.354,61,false,0.0,4199.359, 4342.308, 4076.282, 4187.308, 4249.359
1722050306.3627,2024-07-26 20:18:26.362,62,false,0.0,4208.59, 4360.769, 4089.359, 4201.795, 4265.897
1722050306.3705,2024-07-26 20:18:26.370,63,false,0.0,4211.795, 4352.18, 4086.539, 4208.205, 4269.872
1722050306.3784,2024-07-26 20:18:26.378,64,false,0.0,4215.385, 4349.359, 4098.974, 4216.026, 4271.795
1722050306.3862,2024-07-26 20:18:26.386,65,false,0.0,4219.231, 4347.564, 4114.487, 4219.872, 4283.718
1722050306.394,2024-07-26 20:18:26.394,66,false,0.0,4206.154, 4340.769, 4094.487, 4201.282, 4272.436
1722050306.4018,2024-07-26 20:18:26.401,67,false,0.0,4188.846, 4345.641, 4077.308, 4185.128, 4255.256
1722050306.4096,2024-07-26 20:18:26.409,68,false,0.0,4187.051, 4340.256, 4085.769, 4195.128, 4263.333
1722050306.4174,2024-07-26 20:18:26.417,69,false,0.0,4187.82, 4321.026, 4081.667, 4201.539, 4262.18
1722050306.4252,2024-07-26 20:18:26.425,70,false,0.0,4185.513, 4316.026, 4075.385, 4196.41, 4250.769
1722050306.433,2024-07-26 20:18:26.433,71,false,0.0,4195.385, 4324.103, 4089.231, 4203.461, 4261.41
1722050306.4409,2024-07-26 20:18:26.440,72,false,0.0,4207.308, 4345.641, 4092.564, 4203.974, 4262.564
1722050306.4487,2024-07-26 20:18:26.448,73,false,0.0,4200.385, 4366.41, 4080.128, 4181.923, 4241.282
1722050306.4565,2024-07-26 20:18:26.456,74,false,0.0,4188.205, 4346.795, 4074.231, 4171.154, 4236.282
1722050306.4643,2024-07-26 20:18:26.464,75,false,0.0,4188.718, 4322.308, 4073.077, 4178.59, 4239.744
1722050306.4721,2024-07-26 20:18:26.472,76,false,0.0,4193.718, 4339.103, 4080.128, 4184.103, 4239.359
