Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722051821.8002,2024-07-26 20:43:41.800,118,false,0.0,4211.923, 4347.051, 4117.051, 4181.154, 4200.385
1722051821.808,2024-07-26 20:43:41.808,119,false,0.0,4221.923, 4339.872, 4115.0, 4188.333, 4209.487
1722051821.8159,2024-07-26 20:43:41.815,120,false,0.0,4226.667, 4343.077, 4116.154, 4181.41, 4206.026
1722051821.8237,2024-07-26 20:43:41.823,121,false,0.0,4225.769, 4359.487, 4126.282, 4175.897, 4204.103
1722051821.8315,2024-07-26 20:43:41.831,122,false,0.0,4218.333, 4358.077, 4124.744, 4176.539, 4207.18
1722051821.8393,2024-07-26 20:43:41.839,123,false,0.0,4202.82, 4338.461, 4105.641, 4169.231, 4199.359
1722051821.8471,2024-07-26 20:43:41.847,124,false,0.0,4198.461, 4336.026, 4090.897, 4162.564, 4193.205
1722051821.8549,2024-07-26 20:43:41.854,125,false,0.0,4208.974, 4343.205, 4091.282, 4169.103, 4205.769
1722051821.8627,2024-07-26 20:43:41.862,126,false,0.0,4211.795, 4337.18, 4092.949, 4180.128, 4215.897
1722051821.8705,2024-07-26 20:43:41.870,127,false,0.0,4208.205, 4342.436, 4091.795, 4185.385, 4209.103
1722051821.8784,2024-07-26 20:43:41.878,0,false,0.0,4209.872, 4360.385, 4094.872, 4178.846, 4202.18
1722051821.8862,2024-07-26 20:43:41.886,1,false,0.0,4207.436, 4357.18, 4099.744, 4168.718, 4201.41
1722051821.894,2024-07-26 20:43:41.894,2,false,0.0,4207.436, 4350.641, 4104.872, 4178.461, 4202.564
1722051821.9018,2024-07-26 20:43:41.901,3,false,0.0,4221.41, 4360.769, 4109.872, 4199.487, 4211.539
1722051821.9096,2024-07-26 20:43:41.909,4,false,0.0,4233.077, 4359.359, 4106.795, 4204.744, 4226.154
1722051821.9174,2024-07-26 20:43:41.917,5,false,0.0,4233.59, 4353.077, 4097.82, 4204.615, 4230.513
1722051821.9252,2024-07-26 20:43:41.925,6,false,0.0,4231.026, 4363.333, 4095.128, 4206.667, 4222.18
1722051821.933,2024-07-26 20:43:41.933,7,false,0.0,4222.82, 4363.718, 4095.0, 4195.641, 4215.513
1722051821.9409,2024-07-26 20:43:41.940,8,false,0.0,4215.0, 4349.615, 4089.487, 4182.949, 4216.795
