Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722054287.5934,2024-07-26 21:24:47.593,55,false,0.0,4228.846, 4398.205, 4125.641, 4201.667, 4308.846
1722054287.6012,2024-07-26 21:24:47.601,56,false,0.0,4229.872, 4394.231, 4134.744, 4208.333, 4320.513
1722054287.609,2024-07-26 21:24:47.609,57,false,0.0,4218.205, 4386.026, 4128.077, 4201.282, 4315.256
1722054287.6168,2024-07-26 21:24:47.616,58,false,0.0,4209.359, 4379.615, 4117.308, 4197.308, 4300.0
1722054287.6246,2024-07-26 21:24:47.624,59,false,0.0,4207.82, 4365.769, 4110.897, 4192.564, 4288.846
1722054287.6324,2024-07-26 21:24:47.632,60,false,0.0,4200.0, 4363.077, 4104.615, 4181.923, 4286.282
1722054287.6403,2024-07-26 21:24:47.640,61,false,0.0,4208.846, 4376.539, 4117.949, 4190.769, 4301.282
1722054287.6481,2024-07-26 21:24:47.648,62,false,0.0,4234.872, 4381.026, 4144.872, 4207.564, 4322.18
1722054287.6559,2024-07-26 21:24:47.655,63,false,0.0,4236.026, 4377.18, 4139.615, 4202.051, 4322.308
1722054287.6637,2024-07-26 21:24:47.663,64,false,0.0,4223.333, 4381.539, 4116.41, 4194.487, 4313.974
1722054287.6715,2024-07-26 21:24:47.671,65,false,0.0,4224.872, 4381.923, 4118.974, 4196.539, 4317.692
1722054287.6793,2024-07-26 21:24:47.679,66,false,0.0,4220.513, 4372.949, 4123.205, 4189.615, 4315.513
1722054287.6871,2024-07-26 21:24:47.687,67,false,0.0,4213.59, 4372.692, 4113.333, 4189.231, 4303.718
1722054287.6949,2024-07-26 21:24:47.694,68,false,0.0,4219.359, 4372.051, 4110.513, 4202.18, 4297.949
1722054287.7028,2024-07-26 21:24:47.702,69,false,0.0,4212.692, 4359.487, 4101.41, 4196.282, 4288.974
1722054287.7106,2024-07-26 21:24:47.710,70,false,0.0,4198.974, 4360.769, 4090.256, 4180.769, 4279.103
1722054287.7184,2024-07-26 21:24:47.718,71,false,0.0,4204.744, 4371.026, 4106.282, 4185.256, 4286.667
1722054287.7262,2024-07-26 21:24:47.726,72,false,0.0,4208.59, 4360.385, 4117.18, 4189.103, 4293.59
1722054287.734,2024-07-26 21:24:47.734,73,false,0.0,4204.359, 4358.077, 4102.692, 4181.154, 4284.487
