Time,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1722054288.1949,2024-07-26 21:24:48.194,true,0.817574,true,0.850369,true,0.735945,true,0.805142,true,0.824913,true,0.731058
1722054288.6949,2024-07-26 21:24:48.694,true,0.817574,true,0.852739,true,0.732285,true,0.817574,true,0.824913,true,0.75026
1722054289.1949,2024-07-26 21:24:49.194,true,0.817574,true,0.838044,true,0.744359,true,0.817574,true,0.832018,true,0.756069
1722054289.6949,2024-07-26 21:24:49.694,true,0.817574,true,0.840573,true,0.740774,true,0.817574,true,0.820354,true,0.765172
1722054290.1949,2024-07-26 21:24:50.194,true,0.805142,true,0.824913,true,0.752594,true,0.812867,true,0.823101,true,0.779456
1722054290.6949,2024-07-26 21:24:50.694,true,0.800192,true,0.823101,true,0.754914,true,0.808067,true,0.818504,true,0.790012
1722054291.1949,2024-07-26 21:24:51.194,true,0.795149,true,0.818504,true,0.76065,true,0.803173,true,0.813816,true,0.803173
1722054291.6949,2024-07-26 21:24:51.694,true,0.784781,true,0.80119,true,0.766293,true,0.790012,true,0.796165,true,0.812867
1722054292.1949,2024-07-26 21:24:52.194,true,0.765172,true,0.796165,true,0.771843,true,0.779456,true,0.799191,true,0.829381
1722054292.6949,2024-07-26 21:24:52.694,true,0.75951,true,0.782662,true,0.777299,true,0.774037,true,0.788973,true,0.826711
1722054293.1949,2024-07-26 21:24:53.194,true,0.738367,true,0.777299,true,0.777299,true,0.762918,true,0.769634,true,0.842241
1722054293.6949,2024-07-26 21:24:53.694,true,0.732285,true,0.75951,true,0.777299,true,0.74791,true,0.764047,true,0.839733
1722054294.1949,2024-07-26 21:24:54.194,true,0.719856,true,0.75951,true,0.785834,true,0.726114,true,0.758367,true,0.850369
1722054294.6949,2024-07-26 21:24:54.694,true,0.703182,true,0.740774,true,0.780528,true,0.729827,true,0.737158,true,0.847967
1722054295.1949,2024-07-26 21:24:55.194,true,0.696619,true,0.74673,true,0.775128,true,0.713511,true,0.727356,true,0.845534
1722054295.6949,2024-07-26 21:24:55.694,true,0.689974,true,0.743168,true,0.778379,true,0.707081,true,0.721115,true,0.851952
1722054296.1949,2024-07-26 21:24:56.194,true,0.689974,true,0.729827,true,0.776216,true,0.689974,true,0.710949,true,0.845534
1722054296.6949,2024-07-26 21:24:56.694,true,0.689974,true,0.726114,true,0.765172,true,0.689974,true,0.700567,true,0.834622
1722054297.1949,2024-07-26 21:24:57.194,true,0.679178,true,0.728593,true,0.75951,true,0.689974,true,0.707081,true,0.827605
1722054297.6949,2024-07-26 21:24:57.694,true,0.696619,true,0.731058,true,0.75722,true,0.685949,true,0.703182,true,0.830264
1722054298.1949,2024-07-26 21:24:58.194,true,0.703182,true,0.727356,true,0.751429,true,0.696619,true,0.699254,true,0.813816
1722054298.6949,2024-07-26 21:24:58.694,true,0.719856,true,0.729827,true,0.749087,true,0.699254,true,0.695296,true,0.80119
1722054299.1949,2024-07-26 21:24:59.194,true,0.732285,true,0.726114,true,0.743168,true,0.716059,true,0.691309,true,0.791047
1722054299.6949,2024-07-26 21:24:59.694,true,0.74791,true,0.728593,true,0.737158,true,0.72237,true,0.714787,true,0.777299
1722054300.1949,2024-07-26 21:25:00.194,true,0.768524,true,0.734729,true,0.731058,true,0.744359,true,0.717328,true,0.766293
1722054300.6949,2024-07-26 21:25:00.694,true,0.779456,true,0.72487,true,0.731058,true,0.756069,true,0.713511,true,0.76065
1722054301.1949,2024-07-26 21:25:01.194,true,0.80119,true,0.731058,true,0.731058,true,0.761786,true,0.726114,true,0.749087
1722054301.6949,2024-07-26 21:25:01.694,true,0.810958,true,0.731058,true,0.731058,true,0.790012,true,0.741973,true,0.743168
1722054302.1949,2024-07-26 21:25:02.194,true,0.823101,true,0.731058,true,0.737158,true,0.795149,true,0.738367,true,0.727356
1722054302.6949,2024-07-26 21:25:02.694,true,0.841409,true,0.72487,true,0.733509,true,0.815702,true,0.744359,true,0.731058
1722054303.1949,2024-07-26 21:25:03.194,true,0.851952,true,0.718594,true,0.739572,true,0.820354,true,0.75951,true,0.731058
1722054303.6949,2024-07-26 21:25:03.694,true,0.851952,true,0.732285,true,0.751429,true,0.832018,true,0.75951,true,0.740774
1722054304.1949,2024-07-26 21:25:04.194,true,0.858148,true,0.726114,true,0.74791,true,0.838891,true,0.768524,true,0.731058
1722054304.6949,2024-07-26 21:25:04.694,true,0.864127,true,0.723622,true,0.75951,true,0.845534,true,0.771843,true,0.74673
1722054305.1949,2024-07-26 21:25:05.194,true,0.866313,true,0.717328,true,0.77074,true,0.847967,true,0.780528,true,0.761786
1722054305.6949,2024-07-26 21:25:05.694,true,0.862652,true,0.72487,true,0.767411,true,0.854302,true,0.775128,true,0.758367
1722054306.1949,2024-07-26 21:25:06.194,true,0.864859,true,0.72237,true,0.778379,true,0.85662,true,0.781597,true,0.778379
1722054306.6949,2024-07-26 21:25:06.694,true,0.861165,true,0.726114,true,0.783723,true,0.848771,true,0.784781,true,0.783723
1722054307.1949,2024-07-26 21:25:07.194,true,0.859663,true,0.729827,true,0.788973,true,0.851162,true,0.782662,true,0.802183
1722054307.6949,2024-07-26 21:25:07.694,true,0.845534,true,0.727356,true,0.785834,true,0.849572,true,0.785834,true,0.804159
