time,timestamp,counter,SAM-selectionP,SAM-selectionA,SAM-selectionD
1722051835.220363000,2024-07-26 20:43:55.220,1,0,0,0
1722051839.023066000,2024-07-26 20:43:59.023,2,1,1,1
