time,timestamp,counter,SAM-selectionP,SAM-selectionA,SAM-selectionD
1722050968.588992000,2024-07-26 20:29:28.588,1,0,0,0
1722050971.790098000,2024-07-26 20:29:31.790,2,1,1,1
