Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050688.4877,2024-07-26 20:24:48.487,78,false,0.0,4236.795, 4363.846, 4092.821, 4167.051, 4275.128
1722050688.4955,2024-07-26 20:24:48.495,79,false,0.0,4233.974, 4362.436, 4095.256, 4177.692, 4273.974
1722050688.5034,2024-07-26 20:24:48.503,80,false,0.0,4234.744, 4355.513, 4086.154, 4173.461, 4281.154
1722050688.5112,2024-07-26 20:24:48.511,81,false,0.0,4233.461, 4358.205, 4077.179, 4158.974, 4281.282
1722050688.519,2024-07-26 20:24:48.519,82,false,0.0,4241.41, 4378.846, 4090.0, 4166.41, 4287.051
1722050688.5268,2024-07-26 20:24:48.526,83,false,0.0,4243.974, 4380.128, 4098.333, 4174.744, 4299.744
1722050688.5346,2024-07-26 20:24:48.534,84,false,0.0,4239.103, 4365.128, 4096.667, 4167.949, 4309.231
1722050688.5424,2024-07-26 20:24:48.542,85,false,0.0,4248.59, 4366.154, 4101.41, 4168.205, 4315.897
1722050688.5502,2024-07-26 20:24:48.550,86,false,0.0,4260.128, 4373.205, 4101.026, 4172.82, 4319.231
1722050688.558,2024-07-26 20:24:48.558,87,false,0.0,4257.051, 4372.82, 4097.051, 4169.359, 4320.641
1722050688.5659,2024-07-26 20:24:48.565,88,false,0.0,4252.051, 4369.359, 4098.333, 4170.0, 4326.41
1722050688.5737,2024-07-26 20:24:48.573,89,false,0.0,4248.461, 4361.026, 4091.026, 4177.308, 4329.872
1722050688.5815,2024-07-26 20:24:48.581,90,false,0.0,4241.667, 4354.744, 4081.667, 4179.359, 4322.949
1722050688.5893,2024-07-26 20:24:48.589,91,false,0.0,4237.308, 4357.82, 4082.308, 4173.846, 4312.82
1722050688.5971,2024-07-26 20:24:48.597,92,false,0.0,4231.026, 4360.769, 4077.308, 4162.051, 4304.615
1722050688.6049,2024-07-26 20:24:48.604,93,false,0.0,4219.359, 4360.385, 4071.667, 4150.0, 4297.949
1722050688.6127,2024-07-26 20:24:48.612,94,false,0.0,4217.692, 4358.077, 4082.692, 4151.41, 4299.231
1722050688.6205,2024-07-26 20:24:48.620,95,false,0.0,4231.795, 4358.461, 4096.795, 4165.641, 4311.923
1722050688.6284,2024-07-26 20:24:48.628,96,false,0.0,4245.385, 4374.615, 4105.0, 4175.385, 4326.41
