time,timestamp,counter,SAM-selectionP,SAM-selectionA,SAM-selectionD
1722054630.627037000,2024-07-26 21:30:30.627,1,0,0,0
1722054634.212701000,2024-07-26 21:30:34.212,2,1,1,1
1722054637.245793000,2024-07-26 21:30:37.245,3,2,2,2
1722054640.366088000,2024-07-26 21:30:40.366,4,3,3,3
1722054643.383213000,2024-07-26 21:30:43.383,5,4,4,4
