Time,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1722050958.9565,2024-07-26 20:29:18.956,true,0.838327,true,0.796503,true,0.840014,true,0.881015,true,0.867993,true,0.867993
1722050959.4565,2024-07-26 20:29:19.456,true,0.840852,true,0.801521,true,0.841686,true,0.886157,true,0.874991,true,0.864371
1722050959.9565,2024-07-26 20:29:19.956,true,0.829676,true,0.798522,true,0.839172,true,0.882967,true,0.883611,true,0.866554
1722050960.4565,2024-07-26 20:29:20.456,true,0.836625,true,0.80839,true,0.847429,true,0.881669,true,0.88489,true,0.874306
1722050960.9565,2024-07-26 20:29:20.956,true,0.829676,true,0.813184,true,0.849038,true,0.878369,true,0.888035,true,0.870831
1722050961.4565,2024-07-26 20:29:21.456,true,0.836625,true,0.829676,true,0.853,true,0.877028,true,0.891105,true,0.869419
1722050961.9565,2024-07-26 20:29:21.956,true,0.840852,true,0.831435,true,0.850634,true,0.873617,true,0.894101,true,0.871533
1722050962.4565,2024-07-26 20:29:22.456,true,0.838327,true,0.842517,true,0.854561,true,0.872231,true,0.894101,true,0.870127
1722050962.9565,2024-07-26 20:29:22.956,true,0.842517,true,0.844169,true,0.852215,true,0.862899,true,0.889272,true,0.862899
1722050963.4565,2024-07-26 20:29:23.456,true,0.844169,true,0.854561,true,0.856107,true,0.861413,true,0.884252,true,0.865102
1722050963.9565,2024-07-26 20:29:23.956,true,0.848236,true,0.864371,true,0.856107,true,0.85764,true,0.881015,true,0.867275
1722050964.4565,2024-07-26 20:29:24.456,true,0.843345,true,0.867993,true,0.862158,true,0.847429,true,0.8777,true,0.863637
1722050964.9565,2024-07-26 20:29:24.956,true,0.847429,true,0.867993,true,0.852215,true,0.843345,true,0.868708,true,0.86583
1722050965.4565,2024-07-26 20:29:25.456,true,0.842517,true,0.867993,true,0.852215,true,0.836625,true,0.855336,true,0.856107
1722050965.9565,2024-07-26 20:29:25.956,true,0.844169,true,0.873617,true,0.850634,true,0.836625,true,0.851426,true,0.856107
1722050966.4565,2024-07-26 20:29:26.456,true,0.848236,true,0.870127,true,0.846619,true,0.822493,true,0.836625,true,0.856107
1722050966.9565,2024-07-26 20:29:26.956,true,0.850103,true,0.8759,true,0.853261,true,0.838609,true,0.84362,true,0.863882
1722050967.4565,2024-07-26 20:29:27.456,true,0.847698,true,0.872463,true,0.845262,true,0.829086,true,0.828199,true,0.863882
1722050967.9565,2024-07-26 20:29:27.956,true,0.84113,true,0.865345,true,0.84362,true,0.833469,true,0.819122,true,0.865345
1722050968.4565,2024-07-26 20:29:28.456,true,0.834334,true,0.867515,true,0.839453,true,0.828199,true,0.814446,true,0.863145
1722050968.9565,2024-07-26 20:29:28.956,true,0.827307,true,0.854042,true,0.83085,true,0.825514,true,0.809677,true,0.860915
1722050969.4565,2024-07-26 20:29:29.456,true,0.815389,true,0.846078,true,0.826413,true,0.827307,true,0.796841,true,0.862405
1722050969.9565,2024-07-26 20:29:29.956,true,0.810638,true,0.835196,true,0.829086,true,0.829086,true,0.796841,true,0.863882
1722050970.4565,2024-07-26 20:29:30.456,true,0.79785,true,0.826413,true,0.817263,true,0.826413,true,0.804815,true,0.861662
1722050970.9565,2024-07-26 20:29:30.956,true,0.792763,true,0.821884,true,0.820047,true,0.820967,true,0.796841,true,0.863145
1722050971.4565,2024-07-26 20:29:31.456,true,0.773672,true,0.809677,true,0.820047,true,0.818195,true,0.809677,true,0.860915
1722050971.9565,2024-07-26 20:29:31.956,true,0.762541,true,0.796841,true,0.820047,true,0.822797,true,0.814446,true,0.852477
1722050972.4565,2024-07-26 20:29:32.456,true,0.756837,true,0.788626,true,0.824612,true,0.820047,true,0.819122,true,0.850103
1722050972.9565,2024-07-26 20:29:32.956,true,0.745151,true,0.788626,true,0.817263,true,0.81255,true,0.83085,true,0.847698
1722050973.4565,2024-07-26 20:29:33.456,true,0.748695,true,0.780171,true,0.821884,true,0.804815,true,0.839453,true,0.84113
1722050973.9565,2024-07-26 20:29:33.956,true,0.736754,true,0.776939,true,0.83085,true,0.804815,true,0.847698,true,0.827307
1722050974.4565,2024-07-26 20:29:34.456,true,0.740374,true,0.773672,true,0.828199,true,0.799859,true,0.851689,true,0.822797
1722050974.9565,2024-07-26 20:29:34.956,true,0.740374,true,0.779097,true,0.82997,true,0.794809,true,0.865345,true,0.815389
1722050975.4565,2024-07-26 20:29:35.456,true,0.753369,true,0.775853,true,0.834334,true,0.789666,true,0.868945,true,0.802844
1722050975.9565,2024-07-26 20:29:35.956,true,0.762541,true,0.77802,true,0.836055,true,0.779097,true,0.8759,true,0.792763
1722050976.4565,2024-07-26 20:29:36.456,true,0.771476,true,0.780171,true,0.837761,true,0.782307,true,0.884465,true,0.787582
1722050976.9565,2024-07-26 20:29:36.956,true,0.785484,true,0.793788,true,0.841964,true,0.771476,true,0.879257,true,0.776939
1722050977.4565,2024-07-26 20:29:37.456,true,0.798857,true,0.795827,true,0.839453,true,0.774765,true,0.88762,true,0.762541
1722050977.9565,2024-07-26 20:29:37.956,true,0.819122,true,0.800858,true,0.83691,true,0.772576,true,0.882535,true,0.760271
1722050978.4565,2024-07-26 20:29:38.456,true,0.823706,true,0.810638,true,0.834334,true,0.775853,true,0.882535,true,0.748695
1722050978.9565,2024-07-26 20:29:38.956,true,0.846078,true,0.815389,true,0.834334,true,0.773672,true,0.879257,true,0.752206
1722050979.4565,2024-07-26 20:29:39.456,true,0.856364,true,0.815389,true,0.827307,true,0.785484,true,0.870362,true,0.746336
