Time,Timestamp,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1722050688.6284,2024-07-26 20:24:48.628,24,false,0.447371,-0.30481,0.586365,0.6026,0.886244,-0.433845,-0.126345,-0.046107,0.002315,0.05564
1722050688.6596,2024-07-26 20:24:48.659,25,false,0.447371,-0.30481,0.586365,0.6026,0.888685,-0.444099,-0.116091,-0.04605,0.002437,0.055667
1722050688.6909,2024-07-26 20:24:48.690,26,false,0.447289,-0.30481,0.586365,0.602661,0.884291,-0.436774,-0.119509,-0.045974,0.00234,0.055654
1722050688.7221,2024-07-26 20:24:48.722,27,false,0.447332,-0.304749,0.586426,0.6026,0.884291,-0.436774,-0.119509,-0.045905,0.002252,0.055643
1722050688.7534,2024-07-26 20:24:48.753,28,false,0.447371,-0.30481,0.586365,0.6026,0.891127,-0.446052,-0.124392,-0.045856,0.002283,0.055658
1722050688.7846,2024-07-26 20:24:48.784,29,false,0.447374,-0.304688,0.586426,0.6026,0.891127,-0.446052,-0.124392,-0.045811,0.002311,0.055671
1722050688.8159,2024-07-26 20:24:48.815,30,false,0.447412,-0.304749,0.586365,0.6026,0.885267,-0.42945,-0.131228,-0.045808,0.002178,0.055682
1722050688.8471,2024-07-26 20:24:48.847,31,false,0.44745,-0.304932,0.586304,0.602539,0.897963,-0.431403,-0.126345,-0.045768,0.00218,0.055656
1722050688.8784,2024-07-26 20:24:48.878,0,false,0.447652,-0.304993,0.586243,0.602417,0.897963,-0.431403,-0.126345,-0.045732,0.002182,0.055633
1722050688.9096,2024-07-26 20:24:48.909,1,false,0.447774,-0.304932,0.586182,0.602417,0.89601,-0.435798,-0.119997,-0.045798,0.002122,0.055758
1722050688.9409,2024-07-26 20:24:48.940,2,false,0.447812,-0.304993,0.586121,0.602417,0.897475,-0.414313,-0.127321,-0.045771,0.00202,0.055773
1722050688.9721,2024-07-26 20:24:48.972,3,false,0.447732,-0.304993,0.586182,0.602417,0.897475,-0.414313,-0.127321,-0.045638,0.002038,0.05586
1722050689.0034,2024-07-26 20:24:49.003,4,false,0.447771,-0.305054,0.586121,0.602417,0.895033,-0.427497,-0.132204,-0.045652,0.002115,0.055816
1722050689.0346,2024-07-26 20:24:49.034,5,false,0.447528,-0.304932,0.586182,0.6026,0.87892,-0.421637,-0.11902,-0.045664,0.002159,0.055862
1722050689.0659,2024-07-26 20:24:49.065,6,false,0.447165,-0.304871,0.586365,0.602722,0.87892,-0.421637,-0.11902,-0.045675,0.0022,0.055903
1722050689.0971,2024-07-26 20:24:49.097,7,false,0.446967,-0.304688,0.586548,0.602783,0.891615,-0.424567,-0.123415,-0.045698,0.002273,0.055843
1722050689.1284,2024-07-26 20:24:49.128,8,false,0.447008,-0.304749,0.586548,0.602722,0.898939,-0.42945,-0.12781,-0.045681,0.002216,0.055971
1722050689.1596,2024-07-26 20:24:49.159,9,false,0.446971,-0.304688,0.58667,0.602661,0.89308,-0.43238,-0.126833,-0.045667,0.002166,0.05599
1722050689.1909,2024-07-26 20:24:49.190,10,false,0.446888,-0.30481,0.58667,0.602661,0.893568,-0.426032,-0.116091,-0.04558,0.002206,0.055908
1722050689.2221,2024-07-26 20:24:49.222,11,false,0.446561,-0.305054,0.586792,0.602661,0.897475,-0.43238,-0.123903,-0.045563,0.00218,0.055896
1722050689.2534,2024-07-26 20:24:49.253,12,false,0.446521,-0.305237,0.586853,0.602539,0.897475,-0.43238,-0.123903,-0.045548,0.002158,0.055885
1722050689.2846,2024-07-26 20:24:49.284,13,false,0.44624,-0.305298,0.587097,0.602478,0.89308,-0.440192,-0.126833,-0.045485,0.002113,0.055851
1722050689.3159,2024-07-26 20:24:49.315,14,false,0.446042,-0.305115,0.58728,0.602539,0.888197,-0.432868,-0.125368,-0.045624,0.002048,0.055735
1722050689.3471,2024-07-26 20:24:49.347,15,false,0.445968,-0.304871,0.587463,0.602539,0.888197,-0.432868,-0.125368,-0.045652,0.002075,0.055874
1722050689.3784,2024-07-26 20:24:49.378,16,false,0.445888,-0.304871,0.587524,0.602539,0.892592,-0.433845,-0.123903,-0.045664,0.002087,0.055866
1722050689.4096,2024-07-26 20:24:49.409,17,false,0.445927,-0.30481,0.587463,0.6026,0.898451,-0.435798,-0.116579,-0.045639,0.002135,0.055821
1722050689.4409,2024-07-26 20:24:49.440,18,false,0.446011,-0.304688,0.587463,0.6026,0.898451,-0.435798,-0.116579,-0.045616,0.002178,0.055781
1722050689.4721,2024-07-26 20:24:49.472,19,false,0.44622,-0.304504,0.587524,0.602478,0.885267,-0.443122,-0.127321,-0.045559,0.002241,0.055782
1722050689.5034,2024-07-26 20:24:49.503,20,false,0.44639,-0.304382,0.587646,0.602295,0.888685,-0.435798,-0.116091,-0.045617,0.002188,0.055758
1722050689.5346,2024-07-26 20:24:49.534,21,false,0.446011,-0.304688,0.587463,0.6026,0.892592,-0.433845,-0.123903,-0.04556,0.002128,0.055785
1722050689.5659,2024-07-26 20:24:49.565,22,false,0.446312,-0.304504,0.58783,0.602112,0.879896,-0.44654,-0.119509,-0.045509,0.002073,0.05581
1722050689.5971,2024-07-26 20:24:49.597,23,false,0.446431,-0.304688,0.587708,0.602051,0.883803,-0.434821,-0.12195,-0.045535,0.002,0.055746
1722050689.6284,2024-07-26 20:24:49.628,24,false,0.446627,-0.304871,0.587463,0.602051,0.889174,-0.422614,-0.123903,-0.045572,0.001971,0.055726
1722050689.6596,2024-07-26 20:24:49.659,25,false,0.44658,-0.305054,0.587341,0.602112,0.889174,-0.422614,-0.123903,-0.045556,0.001933,0.055634
1722050689.6909,2024-07-26 20:24:49.690,26,false,0.44658,-0.305054,0.587341,0.602112,0.889662,-0.414801,-0.115602,-0.045614,0.001947,0.055564
1722050689.7221,2024-07-26 20:24:49.722,27,false,0.44683,-0.304932,0.587402,0.601929,0.887221,-0.431403,-0.122438,-0.045521,0.001923,0.055599
1722050689.7534,2024-07-26 20:24:49.753,28,false,0.447039,-0.304749,0.587463,0.601807,0.887221,-0.431403,-0.122438,-0.045437,0.001902,0.05563
1722050689.7846,2024-07-26 20:24:49.784,29,false,0.447121,-0.304504,0.587402,0.601929,0.894545,-0.434333,-0.115602,-0.045471,0.001748,0.055609
1722050689.8159,2024-07-26 20:24:49.815,30,false,0.447119,-0.304504,0.587341,0.60199,0.894057,-0.427985,-0.117556,-0.045452,0.001805,0.055578
1722050689.8471,2024-07-26 20:24:49.847,31,false,0.44712,-0.304382,0.587341,0.602051,0.894057,-0.427985,-0.117556,-0.045436,0.001857,0.05555
1722050689.8784,2024-07-26 20:24:49.878,0,false,0.447204,-0.304138,0.587341,0.602112,0.89308,-0.424079,-0.123415,-0.045421,0.001903,0.055439
1722050689.9096,2024-07-26 20:24:49.909,1,false,0.447322,-0.303955,0.587158,0.602295,0.885756,-0.42945,-0.116091,-0.045469,0.001823,0.055364
1722050689.9409,2024-07-26 20:24:49.940,2,false,0.447524,-0.303894,0.587036,0.602295,0.885267,-0.431403,-0.12195,-0.045585,0.00186,0.055431
1722050689.9721,2024-07-26 20:24:49.972,3,false,0.447483,-0.303833,0.587036,0.602356,0.890639,-0.429938,-0.120485,-0.045641,0.001943,0.055381
1722050690.0034,2024-07-26 20:24:50.003,4,false,0.447685,-0.303772,0.586914,0.602356,0.884779,-0.419684,-0.134646,-0.045679,0.001944,0.055324
1722050690.0346,2024-07-26 20:24:50.034,5,false,0.447731,-0.303589,0.587036,0.602295,0.884779,-0.419684,-0.134646,-0.04575,0.00203,0.055212
1722050690.0659,2024-07-26 20:24:50.065,6,false,0.44765,-0.303711,0.587097,0.602234,0.884779,-0.432868,-0.12781,-0.045838,0.002047,0.055147
1722050690.0971,2024-07-26 20:24:50.097,7,false,0.44757,-0.303833,0.587158,0.602173,0.891127,-0.435798,-0.132204,-0.045783,0.001989,0.055248
1722050690.1284,2024-07-26 20:24:50.128,8,false,0.447324,-0.304077,0.587219,0.602173,0.891127,-0.435798,-0.132204,-0.045734,0.001936,0.055338
1722050690.1596,2024-07-26 20:24:50.159,9,false,0.447158,-0.304321,0.587219,0.602173,0.888685,-0.436286,-0.124392,-0.045775,0.001852,0.055334
