Time,Timestamp,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1722050958.7221,2024-07-26 20:29:18.722,27,false,0.447414,-0.30188,0.58197,0.608276,0.879408,-0.42945,-0.144411,-0.045549,0.001595,0.055272
1722050958.7534,2024-07-26 20:29:18.753,28,false,0.447493,-0.30188,0.581909,0.608276,0.879408,-0.42945,-0.144411,-0.045498,0.001655,0.055347
1722050958.7846,2024-07-26 20:29:18.784,29,false,0.447572,-0.30188,0.581848,0.608276,0.878431,-0.441657,-0.142947,-0.045502,0.001697,0.055367
1722050958.8159,2024-07-26 20:29:18.815,30,false,0.447728,-0.302002,0.581665,0.608276,0.882338,-0.43238,-0.138552,-0.045639,0.001613,0.055421
1722050958.8471,2024-07-26 20:29:18.847,31,false,0.447891,-0.302124,0.581604,0.608154,0.882338,-0.43238,-0.138552,-0.045604,0.001623,0.055409
1722050958.8784,2024-07-26 20:29:18.878,0,false,0.44789,-0.302002,0.581604,0.608215,0.863294,-0.440192,-0.131228,-0.045621,0.001741,0.055447
1722050958.9096,2024-07-26 20:29:18.909,1,false,0.447812,-0.302124,0.581665,0.608154,0.885756,-0.428962,-0.131716,-0.045613,0.001799,0.055347
1722050958.9409,2024-07-26 20:29:18.940,2,false,0.447902,-0.302246,0.581787,0.60791,0.885756,-0.428962,-0.131716,-0.045605,0.001851,0.055256
1722050958.9721,2024-07-26 20:29:18.972,3,false,0.447903,-0.302368,0.581787,0.607849,0.874525,-0.433845,-0.136599,-0.045573,0.001898,0.055224
1722050959.0034,2024-07-26 20:29:19.003,4,false,0.44782,-0.302368,0.581787,0.60791,0.887709,-0.42945,-0.133181,-0.045593,0.001867,0.055329
1722050959.0346,2024-07-26 20:29:19.034,5,false,0.447737,-0.302368,0.581787,0.607971,0.887709,-0.42945,-0.133181,-0.045636,0.001814,0.055375
1722050959.0659,2024-07-26 20:29:19.065,6,false,0.447578,-0.302246,0.581909,0.608032,0.883803,-0.437263,-0.1449,-0.045553,0.001767,0.055355
1722050959.0971,2024-07-26 20:29:19.097,7,false,0.44754,-0.302307,0.58197,0.607971,0.894057,-0.439216,-0.140017,-0.045526,0.001822,0.055264
1722050959.1284,2024-07-26 20:29:19.128,8,false,0.447737,-0.302368,0.581787,0.607971,0.874525,-0.433845,-0.136599,-0.045564,0.001848,0.055292
1722050959.1596,2024-07-26 20:29:19.159,9,false,0.447461,-0.302307,0.582031,0.607971,0.89015,-0.430915,-0.140017,-0.045597,0.00187,0.055317
1722050959.1909,2024-07-26 20:29:19.190,10,false,0.44754,-0.302307,0.58197,0.607971,0.879408,-0.431891,-0.129763,-0.045578,0.001879,0.055388
