time,timestamp,counter,SAM-selectionP,SAM-selectionA,SAM-selectionD
1722050322.395484000,2024-07-26 20:18:42.395,1,0,0,0
1722050326.029530000,2024-07-26 20:18:46.029,2,1,1,1
1722050329.413611000,2024-07-26 20:18:49.413,3,2,2,2
1722050332.664553000,2024-07-26 20:18:52.664,4,3,3,3
1722050336.785708000,2024-07-26 20:18:56.785,5,4,4,4
