time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722050958.7065,2024-07-26 20:29:18.706,neutral,frown,0.95,clench,0.8
1722050958.7377,2024-07-26 20:29:18.737,neutral,frown,0.95,clench,0.8
1722050958.769,2024-07-26 20:29:18.769,neutral,frown,0.95,clench,0.8
1722050958.8002,2024-07-26 20:29:18.800,neutral,frown,0.95,clench,0.8
1722050958.8315,2024-07-26 20:29:18.831,neutral,frown,0.95,clench,0.8
1722050958.8627,2024-07-26 20:29:18.862,neutral,frown,0.95,clench,0.8
1722050958.894,2024-07-26 20:29:18.894,neutral,frown,0.95,clench,0.8
1722050958.9252,2024-07-26 20:29:18.925,neutral,frown,0.95,clench,0.8
1722050958.9565,2024-07-26 20:29:18.956,neutral,frown,0.95,clench,0.8
1722050958.9877,2024-07-26 20:29:18.987,neutral,frown,0.95,clench,0.8
1722050959.019,2024-07-26 20:29:19.019,neutral,frown,0.95,clench,0.8
1722050959.0502,2024-07-26 20:29:19.050,neutral,frown,0.95,clench,0.8
1722050959.0815,2024-07-26 20:29:19.081,neutral,frown,0.95,clench,0.8
1722050959.1127,2024-07-26 20:29:19.112,neutral,frown,0.95,clench,0.8
1722050959.144,2024-07-26 20:29:19.144,neutral,frown,0.95,clench,0.8
1722050959.1752,2024-07-26 20:29:19.175,neutral,frown,0.95,clench,0.8
1722050959.2065,2024-07-26 20:29:19.206,neutral,frown,0.95,clench,0.8
1722050959.2377,2024-07-26 20:29:19.237,neutral,frown,0.95,clench,0.8
1722050959.269,2024-07-26 20:29:19.269,neutral,frown,0.95,clench,0.8
1722050959.3002,2024-07-26 20:29:19.300,neutral,frown,0.95,clench,0.8
1722050959.3315,2024-07-26 20:29:19.331,neutral,frown,0.95,clench,0.8
1722050959.3627,2024-07-26 20:29:19.362,neutral,frown,0.95,clench,0.8
1722050959.394,2024-07-26 20:29:19.394,neutral,frown,0.95,clench,0.8
1722050959.4252,2024-07-26 20:29:19.425,neutral,frown,0.95,clench,0.8
1722050959.4565,2024-07-26 20:29:19.456,neutral,frown,0.95,clench,0.8
1722050959.4877,2024-07-26 20:29:19.487,neutral,frown,0.95,clench,0.8
1722050959.519,2024-07-26 20:29:19.519,neutral,frown,0.95,clench,0.8
1722050959.5502,2024-07-26 20:29:19.550,neutral,frown,0.95,clench,0.8
1722050959.5815,2024-07-26 20:29:19.581,neutral,frown,0.95,clench,0.8
1722050959.6127,2024-07-26 20:29:19.612,neutral,frown,0.95,clench,0.8
1722050959.644,2024-07-26 20:29:19.644,neutral,frown,0.95,clench,0.8
1722050959.6752,2024-07-26 20:29:19.675,neutral,frown,0.95,clench,0.8
1722050959.7065,2024-07-26 20:29:19.706,neutral,frown,0.95,clench,0.8
1722050959.7377,2024-07-26 20:29:19.737,neutral,frown,0.95,clench,0.8
1722050959.769,2024-07-26 20:29:19.769,neutral,frown,0.95,clench,0.8
1722050959.8002,2024-07-26 20:29:19.800,neutral,frown,0.95,clench,0.8
1722050959.8315,2024-07-26 20:29:19.831,neutral,frown,0.95,clench,0.8
1722050959.8627,2024-07-26 20:29:19.862,neutral,frown,0.95,clench,0.8
1722050959.894,2024-07-26 20:29:19.894,neutral,frown,0.95,clench,0.8
1722050959.9252,2024-07-26 20:29:19.925,neutral,frown,0.95,clench,0.8
1722050959.9565,2024-07-26 20:29:19.956,neutral,frown,0.95,clench,0.8
1722050959.9877,2024-07-26 20:29:19.987,neutral,frown,0.95,clench,0.8
1722050960.019,2024-07-26 20:29:20.019,neutral,frown,0.95,clench,0.8
1722050960.0502,2024-07-26 20:29:20.050,neutral,frown,0.95,clench,0.8
1722050960.0815,2024-07-26 20:29:20.081,neutral,frown,0.95,clench,0.8
1722050960.1127,2024-07-26 20:29:20.112,neutral,frown,0.95,clench,0.8
1722050960.144,2024-07-26 20:29:20.144,neutral,frown,0.95,clench,0.8
1722050960.1752,2024-07-26 20:29:20.175,neutral,frown,0.95,clench,0.8
1722050960.2065,2024-07-26 20:29:20.206,neutral,frown,0.95,clench,0.8
1722050960.2377,2024-07-26 20:29:20.237,neutral,frown,0.95,clench,0.8
1722050960.269,2024-07-26 20:29:20.269,neutral,frown,0.95,clench,0.8
1722050960.3002,2024-07-26 20:29:20.300,neutral,frown,0.95,clench,0.8
1722050960.3315,2024-07-26 20:29:20.331,neutral,frown,0.95,clench,0.8
1722050960.3627,2024-07-26 20:29:20.362,neutral,frown,0.95,clench,0.8
1722050960.394,2024-07-26 20:29:20.394,neutral,frown,0.95,clench,0.8
1722050960.4252,2024-07-26 20:29:20.425,neutral,frown,0.95,clench,0.8
1722050960.4565,2024-07-26 20:29:20.456,neutral,frown,0.95,clench,0.8
1722050960.4877,2024-07-26 20:29:20.487,neutral,frown,0.95,clench,0.8
1722050960.519,2024-07-26 20:29:20.519,neutral,frown,0.95,clench,0.8
1722050960.5502,2024-07-26 20:29:20.550,neutral,frown,0.95,clench,0.8
1722050960.5815,2024-07-26 20:29:20.581,neutral,frown,0.95,clench,0.8
1722050960.6127,2024-07-26 20:29:20.612,neutral,frown,0.95,clench,0.8
1722050960.644,2024-07-26 20:29:20.644,neutral,frown,0.95,clench,0.8
1722050960.6752,2024-07-26 20:29:20.675,neutral,frown,0.95,clench,0.8
1722050960.7065,2024-07-26 20:29:20.706,neutral,frown,0.95,clench,0.8
1722050960.7377,2024-07-26 20:29:20.737,neutral,frown,0.95,clench,0.8
1722050960.769,2024-07-26 20:29:20.769,neutral,frown,0.95,clench,0.8
1722050960.8002,2024-07-26 20:29:20.800,neutral,frown,0.95,clench,0.8
1722050960.8315,2024-07-26 20:29:20.831,neutral,frown,0.95,clench,0.8
1722050960.8627,2024-07-26 20:29:20.862,neutral,frown,0.95,clench,0.8
1722050960.894,2024-07-26 20:29:20.894,neutral,frown,0.95,clench,0.8
1722050960.9252,2024-07-26 20:29:20.925,neutral,frown,0.95,clench,0.8
1722050960.9565,2024-07-26 20:29:20.956,neutral,frown,0.95,clench,0.8
1722050960.9877,2024-07-26 20:29:20.987,neutral,frown,0.95,clench,0.8
1722050961.019,2024-07-26 20:29:21.019,neutral,frown,0.95,clench,0.8
1722050961.0502,2024-07-26 20:29:21.050,neutral,frown,0.95,clench,0.8
1722050961.0815,2024-07-26 20:29:21.081,neutral,frown,0.95,clench,0.8
1722050961.1127,2024-07-26 20:29:21.112,neutral,frown,0.95,clench,0.8
1722050961.144,2024-07-26 20:29:21.144,neutral,frown,0.95,clench,0.8
1722050961.1752,2024-07-26 20:29:21.175,neutral,frown,0.95,clench,0.8
1722050961.2065,2024-07-26 20:29:21.206,neutral,frown,0.95,clench,0.8
1722050961.2377,2024-07-26 20:29:21.237,neutral,frown,0.95,clench,0.8
1722050961.269,2024-07-26 20:29:21.269,neutral,frown,0.95,clench,0.8
1722050961.3002,2024-07-26 20:29:21.300,neutral,frown,0.95,clench,0.8
1722050961.3315,2024-07-26 20:29:21.331,neutral,frown,0.95,clench,0.8
1722050961.3627,2024-07-26 20:29:21.362,neutral,frown,0.95,clench,0.8
1722050961.394,2024-07-26 20:29:21.394,neutral,frown,0.95,clench,0.8
1722050961.4252,2024-07-26 20:29:21.425,neutral,frown,0.95,clench,0.8
1722050961.4565,2024-07-26 20:29:21.456,neutral,frown,0.95,clench,0.8
1722050961.4877,2024-07-26 20:29:21.487,neutral,frown,0.95,clench,0.8
1722050961.519,2024-07-26 20:29:21.519,neutral,frown,0.95,clench,0.8
1722050961.5502,2024-07-26 20:29:21.550,neutral,frown,0.95,clench,0.8
1722050961.5815,2024-07-26 20:29:21.581,neutral,frown,0.95,clench,0.8
1722050961.6127,2024-07-26 20:29:21.612,neutral,frown,0.95,clench,0.8
1722050961.644,2024-07-26 20:29:21.644,neutral,frown,0.95,clench,0.8
1722050961.6752,2024-07-26 20:29:21.675,neutral,frown,0.95,clench,0.8
1722050961.7065,2024-07-26 20:29:21.706,neutral,frown,0.95,clench,0.8
1722050961.7377,2024-07-26 20:29:21.737,neutral,frown,0.95,clench,0.8
1722050961.769,2024-07-26 20:29:21.769,neutral,frown,0.95,clench,0.8
1722050961.8002,2024-07-26 20:29:21.800,neutral,frown,0.95,clench,0.8
1722050961.8315,2024-07-26 20:29:21.831,neutral,frown,0.95,clench,0.8
1722050961.8627,2024-07-26 20:29:21.862,neutral,frown,0.95,clench,0.8
1722050961.894,2024-07-26 20:29:21.894,neutral,frown,0.95,clench,0.8
1722050961.9252,2024-07-26 20:29:21.925,neutral,frown,0.95,clench,0.8
1722050961.9565,2024-07-26 20:29:21.956,neutral,frown,0.95,clench,0.8
1722050961.9877,2024-07-26 20:29:21.987,neutral,frown,0.95,clench,0.8
1722050962.019,2024-07-26 20:29:22.019,neutral,frown,0.95,clench,0.8
1722050962.0502,2024-07-26 20:29:22.050,neutral,frown,0.95,clench,0.8
1722050962.0815,2024-07-26 20:29:22.081,neutral,frown,0.95,clench,0.8
1722050962.1127,2024-07-26 20:29:22.112,neutral,frown,0.95,clench,0.8
1722050962.144,2024-07-26 20:29:22.144,neutral,frown,0.95,clench,0.8
