time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722048504.9252,2024-07-26 19:48:24.925,neutral,frown,0.95,clench,0.8
1722048504.9565,2024-07-26 19:48:24.956,neutral,frown,0.95,clench,0.8
1722048504.9877,2024-07-26 19:48:24.987,neutral,frown,0.95,clench,0.8
1722048505.019,2024-07-26 19:48:25.019,neutral,frown,0.95,clench,0.8
1722048505.0502,2024-07-26 19:48:25.050,neutral,frown,0.95,clench,0.8
1722048505.0815,2024-07-26 19:48:25.081,neutral,frown,0.95,clench,0.8
1722048505.1127,2024-07-26 19:48:25.112,neutral,frown,0.95,clench,0.8
1722048505.144,2024-07-26 19:48:25.144,neutral,frown,0.95,clench,0.8
1722048505.1752,2024-07-26 19:48:25.175,neutral,frown,0.95,clench,0.8
1722048505.2065,2024-07-26 19:48:25.206,neutral,frown,0.95,clench,0.8
1722048505.2377,2024-07-26 19:48:25.237,neutral,frown,0.95,clench,0.8
1722048505.269,2024-07-26 19:48:25.269,neutral,frown,0.95,clench,0.8
1722048505.3002,2024-07-26 19:48:25.300,neutral,frown,0.95,clench,0.8
1722048505.3315,2024-07-26 19:48:25.331,neutral,frown,0.95,clench,0.8
1722048505.3627,2024-07-26 19:48:25.362,neutral,frown,0.95,clench,0.8
1722048505.394,2024-07-26 19:48:25.394,neutral,frown,0.95,clench,0.8
1722048505.4252,2024-07-26 19:48:25.425,neutral,frown,0.95,clench,0.8
1722048505.4565,2024-07-26 19:48:25.456,neutral,frown,0.95,clench,0.8
1722048505.4877,2024-07-26 19:48:25.487,neutral,frown,0.95,clench,0.8
1722048505.519,2024-07-26 19:48:25.519,neutral,frown,0.95,clench,0.8
1722048505.5502,2024-07-26 19:48:25.550,neutral,frown,0.95,clench,0.8
1722048505.5815,2024-07-26 19:48:25.581,neutral,frown,0.95,clench,0.8
1722048505.6127,2024-07-26 19:48:25.612,neutral,frown,0.95,clench,0.8
1722048505.644,2024-07-26 19:48:25.644,neutral,frown,0.95,clench,0.8
1722048505.6752,2024-07-26 19:48:25.675,neutral,frown,0.95,clench,0.8
1722048505.7065,2024-07-26 19:48:25.706,neutral,frown,0.95,clench,0.8
1722048505.7377,2024-07-26 19:48:25.737,neutral,frown,0.95,clench,0.8
1722048505.769,2024-07-26 19:48:25.769,neutral,frown,0.95,clench,0.8
1722048505.8002,2024-07-26 19:48:25.800,neutral,frown,0.95,clench,0.8
1722048505.8315,2024-07-26 19:48:25.831,neutral,frown,0.95,clench,0.8
1722048505.8627,2024-07-26 19:48:25.862,neutral,frown,0.95,clench,0.8
1722048505.894,2024-07-26 19:48:25.894,neutral,frown,0.95,clench,0.8
1722048505.9252,2024-07-26 19:48:25.925,neutral,frown,0.95,clench,0.8
1722048505.9565,2024-07-26 19:48:25.956,neutral,frown,0.95,clench,0.8
1722048505.9877,2024-07-26 19:48:25.987,neutral,frown,0.95,clench,0.8
1722048506.019,2024-07-26 19:48:26.019,neutral,frown,0.95,clench,0.8
1722048506.0502,2024-07-26 19:48:26.050,neutral,frown,0.95,clench,0.8
1722048506.0815,2024-07-26 19:48:26.081,neutral,frown,0.95,clench,0.8
1722048506.1127,2024-07-26 19:48:26.112,neutral,frown,0.95,clench,0.8
1722048506.144,2024-07-26 19:48:26.144,neutral,frown,0.95,clench,0.8
1722048506.1752,2024-07-26 19:48:26.175,neutral,frown,0.95,clench,0.8
1722048506.2065,2024-07-26 19:48:26.206,neutral,frown,0.95,clench,0.8
1722048506.2377,2024-07-26 19:48:26.237,neutral,frown,0.95,clench,0.8
1722048506.269,2024-07-26 19:48:26.269,neutral,frown,0.95,clench,0.8
1722048506.3002,2024-07-26 19:48:26.300,neutral,frown,0.95,clench,0.8
1722048506.3315,2024-07-26 19:48:26.331,neutral,frown,0.95,clench,0.8
1722048506.3627,2024-07-26 19:48:26.362,neutral,frown,0.95,clench,0.8
1722048506.394,2024-07-26 19:48:26.394,neutral,frown,0.95,clench,0.8
1722048506.4252,2024-07-26 19:48:26.425,neutral,frown,0.95,clench,0.8
1722048506.4565,2024-07-26 19:48:26.456,neutral,frown,0.95,clench,0.8
1722048506.4877,2024-07-26 19:48:26.487,neutral,frown,0.95,clench,0.8
1722048506.519,2024-07-26 19:48:26.519,neutral,frown,0.95,clench,0.8
1722048506.5502,2024-07-26 19:48:26.550,neutral,frown,0.95,clench,0.8
1722048506.5815,2024-07-26 19:48:26.581,neutral,frown,0.95,clench,0.8
1722048506.6127,2024-07-26 19:48:26.612,neutral,frown,0.95,clench,0.8
1722048506.644,2024-07-26 19:48:26.644,neutral,frown,0.95,clench,0.8
1722048506.6752,2024-07-26 19:48:26.675,neutral,frown,0.95,clench,0.8
1722048506.7065,2024-07-26 19:48:26.706,neutral,frown,0.95,clench,0.8
1722048506.7377,2024-07-26 19:48:26.737,neutral,frown,0.95,clench,0.8
1722048506.769,2024-07-26 19:48:26.769,neutral,frown,0.95,clench,0.8
1722048506.8002,2024-07-26 19:48:26.800,neutral,frown,0.95,clench,0.8
1722048506.8315,2024-07-26 19:48:26.831,neutral,frown,0.95,clench,0.8
1722048506.8627,2024-07-26 19:48:26.862,neutral,frown,0.95,clench,0.8
1722048506.894,2024-07-26 19:48:26.894,neutral,frown,0.95,clench,0.8
1722048506.9252,2024-07-26 19:48:26.925,neutral,frown,0.95,clench,0.8
1722048506.9565,2024-07-26 19:48:26.956,neutral,frown,0.95,clench,0.8
1722048506.9877,2024-07-26 19:48:26.987,neutral,frown,0.95,clench,0.8
1722048507.019,2024-07-26 19:48:27.019,neutral,frown,0.95,clench,0.8
1722048507.0502,2024-07-26 19:48:27.050,neutral,frown,0.95,clench,0.8
1722048507.0815,2024-07-26 19:48:27.081,neutral,frown,0.95,clench,0.8
1722048507.1127,2024-07-26 19:48:27.112,neutral,frown,0.95,clench,0.8
1722048507.144,2024-07-26 19:48:27.144,neutral,frown,0.95,clench,0.8
1722048507.1752,2024-07-26 19:48:27.175,neutral,frown,0.95,clench,0.8
