Time,Timestamp,Pleasure,Arousal,Dominance
1722050305.9565,2024-07-26 20:18:25.956,0.94,-0.14,0.31
1722050306.4565,2024-07-26 20:18:26.456,0.94,-0.14,0.32
1722050306.9565,2024-07-26 20:18:26.956,0.94,-0.14,0.32
1722050307.4565,2024-07-26 20:18:27.456,0.94,-0.13,0.32
1722050307.9565,2024-07-26 20:18:27.956,0.94,-0.12,0.32
1722050308.4565,2024-07-26 20:18:28.456,0.94,-0.13,0.33
1722050308.9565,2024-07-26 20:18:28.956,0.94,-0.13,0.32
1722050309.4565,2024-07-26 20:18:29.456,0.93,-0.12,0.33
1722050309.9565,2024-07-26 20:18:29.956,0.93,-0.13,0.33
1722050310.4565,2024-07-26 20:18:30.456,0.93,-0.13,0.34
1722050310.9565,2024-07-26 20:18:30.956,0.93,-0.14,0.35
1722050311.4565,2024-07-26 20:18:31.456,0.93,-0.14,0.35
1722050311.9565,2024-07-26 20:18:31.956,0.92,-0.14,0.36
1722050312.4565,2024-07-26 20:18:32.456,0.92,-0.15,0.36
1722050312.9565,2024-07-26 20:18:32.956,0.92,-0.15,0.36
1722050313.4565,2024-07-26 20:18:33.456,0.92,-0.16,0.36
1722050313.9565,2024-07-26 20:18:33.956,0.92,-0.16,0.36
1722050314.4565,2024-07-26 20:18:34.456,0.92,-0.16,0.36
1722050314.9565,2024-07-26 20:18:34.956,0.92,-0.16,0.36
1722050315.4565,2024-07-26 20:18:35.456,0.92,-0.17,0.35
1722050315.9565,2024-07-26 20:18:35.956,0.92,-0.17,0.35
1722050316.4565,2024-07-26 20:18:36.456,0.92,-0.17,0.34
1722050316.9565,2024-07-26 20:18:36.956,0.93,-0.17,0.34
1722050317.4565,2024-07-26 20:18:37.456,0.93,-0.16,0.34
1722050317.9565,2024-07-26 20:18:37.956,0.93,-0.16,0.33
1722050318.4565,2024-07-26 20:18:38.456,0.93,-0.16,0.32
1722050318.9565,2024-07-26 20:18:38.956,0.93,-0.17,0.32
1722050319.4565,2024-07-26 20:18:39.456,0.93,-0.17,0.33
1722050319.9565,2024-07-26 20:18:39.956,0.93,-0.18,0.33
1722050320.4565,2024-07-26 20:18:40.456,0.93,-0.18,0.32
1722050320.9565,2024-07-26 20:18:40.956,0.93,-0.18,0.32
1722050321.4565,2024-07-26 20:18:41.456,0.93,-0.18,0.33
1722050321.9565,2024-07-26 20:18:41.956,0.93,-0.18,0.33
1722050322.4565,2024-07-26 20:18:42.456,0.93,-0.18,0.33
1722050322.9565,2024-07-26 20:18:42.956,0.93,-0.18,0.33
1722050323.4565,2024-07-26 20:18:43.456,0.92,-0.18,0.33
1722050323.9565,2024-07-26 20:18:43.956,0.92,-0.18,0.34
1722050324.4565,2024-07-26 20:18:44.456,0.92,-0.18,0.34
1722050324.9565,2024-07-26 20:18:44.956,0.92,-0.18,0.34
1722050325.4565,2024-07-26 20:18:45.456,0.92,-0.18,0.34
1722050325.9565,2024-07-26 20:18:45.956,0.92,-0.19,0.35
1722050326.4565,2024-07-26 20:18:46.456,0.92,-0.18,0.35
1722050326.9565,2024-07-26 20:18:46.956,0.92,-0.18,0.35
1722050327.4565,2024-07-26 20:18:47.456,0.92,-0.17,0.35
1722050327.9565,2024-07-26 20:18:47.956,0.92,-0.18,0.35
1722050328.4565,2024-07-26 20:18:48.456,0.92,-0.18,0.35
1722050328.9565,2024-07-26 20:18:48.956,0.92,-0.17,0.35
1722050329.4565,2024-07-26 20:18:49.456,0.92,-0.17,0.35
1722050329.9565,2024-07-26 20:18:49.956,0.92,-0.17,0.35
1722050330.4565,2024-07-26 20:18:50.456,0.92,-0.17,0.35
1722050330.9565,2024-07-26 20:18:50.956,0.92,-0.16,0.35
1722050331.4565,2024-07-26 20:18:51.456,0.92,-0.17,0.35
1722050331.9565,2024-07-26 20:18:51.956,0.92,-0.16,0.35
1722050332.4565,2024-07-26 20:18:52.456,0.92,-0.16,0.35
1722050332.9565,2024-07-26 20:18:52.956,0.92,-0.17,0.35
1722050333.4565,2024-07-26 20:18:53.456,0.92,-0.17,0.35
1722050333.9565,2024-07-26 20:18:53.956,0.92,-0.17,0.35
1722050334.4565,2024-07-26 20:18:54.456,0.92,-0.18,0.35
1722050334.9565,2024-07-26 20:18:54.956,0.92,-0.18,0.35
1722050335.4565,2024-07-26 20:18:55.456,0.92,-0.18,0.35
1722050335.9565,2024-07-26 20:18:55.956,0.92,-0.18,0.35
1722050336.4565,2024-07-26 20:18:56.456,0.92,-0.19,0.35
1722050336.9565,2024-07-26 20:18:56.956,0.92,-0.19,0.35
1722050337.4565,2024-07-26 20:18:57.456,0.92,-0.19,0.36
1722050337.9565,2024-07-26 20:18:57.956,0.91,-0.20,0.35
1722050338.4565,2024-07-26 20:18:58.456,0.91,-0.20,0.36
1722050338.9565,2024-07-26 20:18:58.956,0.91,-0.20,0.36
1722050339.4565,2024-07-26 20:18:59.456,0.91,-0.20,0.36
1722050339.9565,2024-07-26 20:18:59.956,0.91,-0.20,0.36
1722050340.4565,2024-07-26 20:19:00.456,0.91,-0.20,0.36
1722050340.9565,2024-07-26 20:19:00.956,0.91,-0.21,0.36
1722050341.4565,2024-07-26 20:19:01.456,0.91,-0.20,0.36
1722050341.9565,2024-07-26 20:19:01.956,0.91,-0.21,0.36
1722050342.4565,2024-07-26 20:19:02.456,0.91,-0.20,0.36
1722050342.9565,2024-07-26 20:19:02.956,0.91,-0.20,0.36
1722050343.4565,2024-07-26 20:19:03.456,0.91,-0.19,0.35
1722050343.9565,2024-07-26 20:19:03.956,0.92,-0.19,0.35
1722050344.4565,2024-07-26 20:19:04.456,0.92,-0.19,0.35
1722050344.9565,2024-07-26 20:19:04.956,0.92,-0.18,0.34
1722050345.4565,2024-07-26 20:19:05.456,0.92,-0.18,0.34
1722050345.9565,2024-07-26 20:19:05.956,0.93,-0.17,0.33
1722050346.4565,2024-07-26 20:19:06.456,0.93,-0.17,0.33
1722050346.9565,2024-07-26 20:19:06.956,0.93,-0.16,0.32
1722050347.4565,2024-07-26 20:19:07.456,0.94,-0.15,0.32
1722050347.9565,2024-07-26 20:19:07.956,0.94,-0.14,0.31
1722050348.4565,2024-07-26 20:19:08.456,0.94,-0.13,0.31
1722050348.9565,2024-07-26 20:19:08.956,0.94,-0.13,0.31
