time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722050305.769,2024-07-26 20:18:25.769,neutral,frown,0.95,clench,0.8
1722050305.8002,2024-07-26 20:18:25.800,neutral,frown,0.95,clench,0.8
1722050305.8315,2024-07-26 20:18:25.831,neutral,frown,0.95,clench,0.8
1722050305.8627,2024-07-26 20:18:25.862,neutral,frown,0.95,clench,0.8
1722050305.894,2024-07-26 20:18:25.894,neutral,frown,0.95,clench,0.8
1722050305.9252,2024-07-26 20:18:25.925,neutral,frown,0.95,clench,0.8
1722050305.9565,2024-07-26 20:18:25.956,neutral,frown,0.95,clench,0.8
1722050305.9877,2024-07-26 20:18:25.987,neutral,frown,0.95,clench,0.8
1722050306.019,2024-07-26 20:18:26.019,neutral,frown,0.95,clench,0.8
1722050306.0502,2024-07-26 20:18:26.050,neutral,frown,0.95,clench,0.8
1722050306.0815,2024-07-26 20:18:26.081,neutral,frown,0.95,clench,0.8
1722050306.1127,2024-07-26 20:18:26.112,neutral,frown,0.95,clench,0.8
1722050306.144,2024-07-26 20:18:26.144,neutral,frown,0.95,clench,0.8
1722050306.1752,2024-07-26 20:18:26.175,neutral,frown,0.95,clench,0.8
1722050306.2065,2024-07-26 20:18:26.206,neutral,frown,0.95,clench,0.8
1722050306.2377,2024-07-26 20:18:26.237,neutral,frown,0.95,clench,0.8
1722050306.269,2024-07-26 20:18:26.269,neutral,frown,0.95,clench,0.8
1722050306.3002,2024-07-26 20:18:26.300,neutral,frown,0.95,clench,0.8
1722050306.3315,2024-07-26 20:18:26.331,neutral,frown,0.95,clench,0.8
1722050306.3627,2024-07-26 20:18:26.362,neutral,frown,0.95,clench,0.8
1722050306.394,2024-07-26 20:18:26.394,neutral,frown,0.95,clench,0.8
1722050306.4252,2024-07-26 20:18:26.425,neutral,frown,0.95,clench,0.8
1722050306.4565,2024-07-26 20:18:26.456,neutral,frown,0.95,clench,0.8
1722050306.4877,2024-07-26 20:18:26.487,neutral,frown,0.95,clench,0.8
1722050306.519,2024-07-26 20:18:26.519,neutral,frown,0.95,clench,0.8
1722050306.5502,2024-07-26 20:18:26.550,neutral,frown,0.95,clench,0.8
1722050306.5815,2024-07-26 20:18:26.581,neutral,frown,0.95,clench,0.8
1722050306.6127,2024-07-26 20:18:26.612,neutral,frown,0.95,clench,0.8
1722050306.644,2024-07-26 20:18:26.644,neutral,frown,0.95,clench,0.8
1722050306.6752,2024-07-26 20:18:26.675,neutral,frown,0.95,clench,0.8
1722050306.7065,2024-07-26 20:18:26.706,neutral,frown,0.95,clench,0.8
1722050306.7377,2024-07-26 20:18:26.737,neutral,frown,0.95,clench,0.8
1722050306.769,2024-07-26 20:18:26.769,neutral,frown,0.95,clench,0.8
1722050306.8002,2024-07-26 20:18:26.800,neutral,frown,0.95,clench,0.8
1722050306.8315,2024-07-26 20:18:26.831,neutral,frown,0.95,clench,0.8
1722050306.8627,2024-07-26 20:18:26.862,neutral,frown,0.95,clench,0.8
1722050306.894,2024-07-26 20:18:26.894,neutral,frown,0.95,clench,0.8
1722050306.9252,2024-07-26 20:18:26.925,neutral,frown,0.95,clench,0.8
1722050306.9565,2024-07-26 20:18:26.956,neutral,frown,0.95,clench,0.8
1722050306.9877,2024-07-26 20:18:26.987,neutral,frown,0.95,clench,0.8
1722050307.019,2024-07-26 20:18:27.019,neutral,frown,0.95,clench,0.8
1722050307.0502,2024-07-26 20:18:27.050,neutral,frown,0.95,clench,0.8
1722050307.0815,2024-07-26 20:18:27.081,neutral,frown,0.95,clench,0.8
1722050307.1127,2024-07-26 20:18:27.112,neutral,frown,0.95,clench,0.8
1722050307.144,2024-07-26 20:18:27.144,neutral,frown,0.95,clench,0.8
1722050307.1752,2024-07-26 20:18:27.175,neutral,frown,0.95,clench,0.8
1722050307.2065,2024-07-26 20:18:27.206,neutral,frown,0.95,clench,0.8
1722050307.2377,2024-07-26 20:18:27.237,neutral,frown,0.95,clench,0.8
1722050307.269,2024-07-26 20:18:27.269,neutral,frown,0.95,clench,0.8
1722050307.3002,2024-07-26 20:18:27.300,neutral,frown,0.95,clench,0.8
1722050307.3315,2024-07-26 20:18:27.331,neutral,frown,0.95,clench,0.8
1722050307.3627,2024-07-26 20:18:27.362,neutral,frown,0.95,clench,0.8
1722050307.394,2024-07-26 20:18:27.394,neutral,frown,0.95,clench,0.8
1722050307.4252,2024-07-26 20:18:27.425,neutral,frown,0.95,clench,0.8
1722050307.4565,2024-07-26 20:18:27.456,neutral,frown,0.95,clench,0.8
1722050307.4877,2024-07-26 20:18:27.487,neutral,frown,0.95,clench,0.8
1722050307.519,2024-07-26 20:18:27.519,neutral,frown,0.95,clench,0.8
1722050307.5502,2024-07-26 20:18:27.550,neutral,frown,0.95,clench,0.8
1722050307.5815,2024-07-26 20:18:27.581,neutral,frown,0.95,clench,0.8
1722050307.6127,2024-07-26 20:18:27.612,neutral,frown,0.95,clench,0.8
1722050307.644,2024-07-26 20:18:27.644,neutral,frown,0.95,clench,0.8
1722050307.6752,2024-07-26 20:18:27.675,neutral,frown,0.95,clench,0.8
1722050307.7065,2024-07-26 20:18:27.706,neutral,frown,0.95,clench,0.8
1722050307.7377,2024-07-26 20:18:27.737,neutral,frown,0.95,clench,0.8
1722050307.769,2024-07-26 20:18:27.769,neutral,frown,0.95,clench,0.8
1722050307.8002,2024-07-26 20:18:27.800,neutral,frown,0.95,clench,0.8
1722050307.8315,2024-07-26 20:18:27.831,neutral,frown,0.95,clench,0.8
1722050307.8627,2024-07-26 20:18:27.862,neutral,frown,0.95,clench,0.8
1722050307.894,2024-07-26 20:18:27.894,neutral,frown,0.95,clench,0.8
1722050307.9252,2024-07-26 20:18:27.925,neutral,frown,0.95,clench,0.8
1722050307.9565,2024-07-26 20:18:27.956,neutral,frown,0.95,clench,0.8
1722050307.9877,2024-07-26 20:18:27.987,neutral,frown,0.95,clench,0.8
1722050308.019,2024-07-26 20:18:28.019,neutral,frown,0.95,clench,0.8
1722050308.0502,2024-07-26 20:18:28.050,neutral,frown,0.95,clench,0.8
1722050308.0815,2024-07-26 20:18:28.081,neutral,frown,0.95,clench,0.8
