Time,Timestamp,Pleasure,Arousal,Dominance
1722048504.9565,2024-07-26 19:48:24.956,0.93,-0.16,0.33
1722048505.4565,2024-07-26 19:48:25.456,0.93,-0.16,0.33
1722048505.9565,2024-07-26 19:48:25.956,0.93,-0.16,0.33
1722048506.4565,2024-07-26 19:48:26.456,0.93,-0.15,0.34
1722048506.9565,2024-07-26 19:48:26.956,0.93,-0.15,0.34
1722048507.4565,2024-07-26 19:48:27.456,0.93,-0.15,0.34
1722048507.9565,2024-07-26 19:48:27.956,0.93,-0.14,0.34
1722048508.4565,2024-07-26 19:48:28.456,0.93,-0.15,0.34
1722048508.9565,2024-07-26 19:48:28.956,0.93,-0.14,0.35
1722048509.4565,2024-07-26 19:48:29.456,0.93,-0.14,0.35
1722048509.9565,2024-07-26 19:48:29.956,0.93,-0.14,0.35
1722048510.4565,2024-07-26 19:48:30.456,0.92,-0.15,0.35
1722048510.9565,2024-07-26 19:48:30.956,0.92,-0.14,0.35
1722048511.4565,2024-07-26 19:48:31.456,0.93,-0.14,0.35
1722048511.9565,2024-07-26 19:48:31.956,0.93,-0.14,0.35
1722048512.4565,2024-07-26 19:48:32.456,0.93,-0.14,0.35
1722048512.9565,2024-07-26 19:48:32.956,0.93,-0.14,0.35
1722048513.4565,2024-07-26 19:48:33.456,0.93,-0.14,0.34
1722048513.9565,2024-07-26 19:48:33.956,0.93,-0.14,0.34
1722048514.4565,2024-07-26 19:48:34.456,0.94,-0.14,0.32
1722048514.9565,2024-07-26 19:48:34.956,0.93,-0.14,0.33
1722048515.4565,2024-07-26 19:48:35.456,0.93,-0.15,0.33
1722048515.9565,2024-07-26 19:48:35.956,0.93,-0.15,0.32
1722048516.4565,2024-07-26 19:48:36.456,0.93,-0.15,0.32
1722048516.9565,2024-07-26 19:48:36.956,0.93,-0.16,0.33
1722048517.4565,2024-07-26 19:48:37.456,0.93,-0.16,0.33
1722048517.9565,2024-07-26 19:48:37.956,0.93,-0.16,0.33
1722048518.4565,2024-07-26 19:48:38.456,0.93,-0.17,0.33
1722048518.9565,2024-07-26 19:48:38.956,0.93,-0.18,0.33
1722048519.4565,2024-07-26 19:48:39.456,0.92,-0.18,0.34
1722048519.9565,2024-07-26 19:48:39.956,0.92,-0.19,0.34
1722048520.4565,2024-07-26 19:48:40.456,0.92,-0.19,0.34
1722048520.9565,2024-07-26 19:48:40.956,0.92,-0.19,0.34
1722048521.4565,2024-07-26 19:48:41.456,0.92,-0.19,0.34
1722048521.9565,2024-07-26 19:48:41.956,0.92,-0.19,0.35
1722048522.4565,2024-07-26 19:48:42.456,0.92,-0.19,0.35
1722048522.9565,2024-07-26 19:48:42.956,0.92,-0.19,0.35
1722048523.4565,2024-07-26 19:48:43.456,0.92,-0.19,0.35
1722048523.9565,2024-07-26 19:48:43.956,0.92,-0.19,0.35
1722048524.4565,2024-07-26 19:48:44.456,0.92,-0.19,0.35
1722048524.9565,2024-07-26 19:48:44.956,0.92,-0.19,0.34
1722048525.4565,2024-07-26 19:48:45.456,0.92,-0.19,0.35
1722048525.9565,2024-07-26 19:48:45.956,0.92,-0.19,0.35
1722048526.4565,2024-07-26 19:48:46.456,0.92,-0.18,0.34
1722048526.9565,2024-07-26 19:48:46.956,0.92,-0.18,0.34
1722048527.4565,2024-07-26 19:48:47.456,0.93,-0.17,0.34
1722048527.9565,2024-07-26 19:48:47.956,0.93,-0.16,0.33
1722048528.4565,2024-07-26 19:48:48.456,0.93,-0.16,0.33
1722048528.9565,2024-07-26 19:48:48.956,0.93,-0.16,0.33
