time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054623.9449,2024-07-26 21:30:23.944,neutral,frown,0.95,clench,0.8
1722054623.9762,2024-07-26 21:30:23.976,neutral,frown,0.95,clench,0.8
1722054624.0074,2024-07-26 21:30:24.007,neutral,frown,0.95,clench,0.8
1722054624.0387,2024-07-26 21:30:24.038,neutral,frown,0.95,clench,0.8
1722054624.0699,2024-07-26 21:30:24.069,neutral,frown,0.95,clench,0.8
1722054624.1012,2024-07-26 21:30:24.101,neutral,frown,0.95,clench,0.8
1722054624.1324,2024-07-26 21:30:24.132,neutral,frown,0.95,clench,0.8
1722054624.1637,2024-07-26 21:30:24.163,neutral,frown,0.95,clench,0.8
1722054624.1949,2024-07-26 21:30:24.194,neutral,frown,0.95,clench,0.8
1722054624.2262,2024-07-26 21:30:24.226,neutral,frown,0.95,clench,0.8
1722054624.2574,2024-07-26 21:30:24.257,neutral,frown,0.95,clench,0.8
1722054624.2887,2024-07-26 21:30:24.288,neutral,frown,0.95,clench,0.8
1722054624.3199,2024-07-26 21:30:24.319,neutral,frown,0.95,clench,0.8
1722054624.3512,2024-07-26 21:30:24.351,neutral,frown,0.95,clench,0.8
1722054624.3824,2024-07-26 21:30:24.382,neutral,frown,0.95,clench,0.8
1722054624.4137,2024-07-26 21:30:24.413,neutral,frown,0.95,clench,0.8
1722054624.4449,2024-07-26 21:30:24.444,neutral,frown,0.95,clench,0.8
1722054624.4762,2024-07-26 21:30:24.476,neutral,frown,0.95,clench,0.8
1722054624.5074,2024-07-26 21:30:24.507,neutral,frown,0.95,clench,0.8
1722054624.5387,2024-07-26 21:30:24.538,neutral,frown,0.95,clench,0.8
1722054624.5699,2024-07-26 21:30:24.569,neutral,frown,0.95,clench,0.8
1722054624.6012,2024-07-26 21:30:24.601,neutral,frown,0.95,clench,0.8
1722054624.6324,2024-07-26 21:30:24.632,neutral,frown,0.95,clench,0.8
1722054624.6637,2024-07-26 21:30:24.663,neutral,frown,0.95,clench,0.8
1722054624.6949,2024-07-26 21:30:24.694,neutral,frown,0.95,clench,0.8
1722054624.7262,2024-07-26 21:30:24.726,neutral,frown,0.95,clench,0.8
1722054624.7574,2024-07-26 21:30:24.757,neutral,frown,0.95,clench,0.8
1722054624.7887,2024-07-26 21:30:24.788,neutral,frown,0.95,clench,0.8
1722054624.8199,2024-07-26 21:30:24.819,neutral,frown,0.95,clench,0.8
1722054624.8512,2024-07-26 21:30:24.851,neutral,frown,0.95,clench,0.8
1722054624.8824,2024-07-26 21:30:24.882,neutral,frown,0.95,clench,0.8
1722054624.9137,2024-07-26 21:30:24.913,neutral,frown,0.95,clench,0.8
1722054624.9449,2024-07-26 21:30:24.944,neutral,frown,0.95,clench,0.8
1722054624.9762,2024-07-26 21:30:24.976,neutral,frown,0.95,clench,0.8
1722054625.0074,2024-07-26 21:30:25.007,neutral,frown,0.95,clench,0.8
1722054625.0387,2024-07-26 21:30:25.038,neutral,frown,0.95,clench,0.8
1722054625.0699,2024-07-26 21:30:25.069,neutral,frown,0.95,clench,0.8
1722054625.1012,2024-07-26 21:30:25.101,neutral,frown,0.95,clench,0.8
1722054625.1324,2024-07-26 21:30:25.132,neutral,frown,0.95,clench,0.8
1722054625.1637,2024-07-26 21:30:25.163,neutral,frown,0.95,clench,0.8
1722054625.1949,2024-07-26 21:30:25.194,neutral,frown,0.95,clench,0.8
1722054625.2262,2024-07-26 21:30:25.226,neutral,frown,0.95,clench,0.8
1722054625.2574,2024-07-26 21:30:25.257,neutral,frown,0.95,clench,0.8
1722054625.2887,2024-07-26 21:30:25.288,neutral,frown,0.95,clench,0.8
1722054625.3199,2024-07-26 21:30:25.319,neutral,frown,0.95,clench,0.8
1722054625.3512,2024-07-26 21:30:25.351,neutral,frown,0.95,clench,0.8
1722054625.3824,2024-07-26 21:30:25.382,neutral,frown,0.95,clench,0.8
1722054625.4137,2024-07-26 21:30:25.413,neutral,frown,0.95,clench,0.8
1722054625.4449,2024-07-26 21:30:25.444,neutral,frown,0.95,clench,0.8
1722054625.4762,2024-07-26 21:30:25.476,neutral,frown,0.95,clench,0.8
1722054625.5074,2024-07-26 21:30:25.507,neutral,frown,0.95,clench,0.8
1722054625.5387,2024-07-26 21:30:25.538,neutral,frown,0.95,clench,0.8
1722054625.5699,2024-07-26 21:30:25.569,neutral,frown,0.95,clench,0.8
1722054625.6012,2024-07-26 21:30:25.601,neutral,frown,0.95,clench,0.8
1722054625.6324,2024-07-26 21:30:25.632,neutral,frown,0.95,clench,0.8
1722054625.6637,2024-07-26 21:30:25.663,neutral,frown,0.95,clench,0.8
1722054625.6949,2024-07-26 21:30:25.694,neutral,frown,0.95,clench,0.8
