Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050958.5815,2024-07-26 20:29:18.581,90,false,0.0,4213.205, 4338.974, 4075.513, 4161.539, 4141.667
1722050958.5893,2024-07-26 20:29:18.589,91,false,0.0,4222.82, 4354.487, 4088.205, 4165.769, 4145.0
1722050958.5971,2024-07-26 20:29:18.597,92,false,0.0,4222.564, 4358.333, 4097.436, 4174.231, 4142.564
1722050958.6049,2024-07-26 20:29:18.604,93,false,0.0,4212.564, 4343.846, 4091.667, 4174.744, 4130.641
1722050958.6127,2024-07-26 20:29:18.612,94,false,0.0,4212.949, 4337.051, 4083.333, 4174.231, 4133.461
1722050958.6205,2024-07-26 20:29:18.620,95,false,0.0,4220.385, 4341.154, 4077.692, 4174.359, 4133.077
1722050958.6284,2024-07-26 20:29:18.628,96,false,0.0,4221.154, 4352.18, 4082.308, 4166.154, 4121.539
1722050958.6362,2024-07-26 20:29:18.636,97,false,0.0,4225.256, 4355.641, 4093.461, 4162.051, 4129.487
1722050958.644,2024-07-26 20:29:18.644,98,false,0.0,4236.41, 4346.282, 4092.051, 4167.949, 4141.026
1722050958.6518,2024-07-26 20:29:18.651,99,false,0.0,4238.718, 4350.769, 4086.795, 4168.205, 4129.744
1722050958.6596,2024-07-26 20:29:18.659,100,false,0.0,4228.974, 4352.692, 4087.692, 4166.667, 4118.077
1722050958.6674,2024-07-26 20:29:18.667,101,false,0.0,4215.769, 4328.718, 4080.897, 4172.692, 4107.18
1722050958.6752,2024-07-26 20:29:18.675,102,false,0.0,4203.718, 4323.461, 4075.385, 4172.308, 4089.231
1722050958.683,2024-07-26 20:29:18.683,103,false,0.0,4197.949, 4334.231, 4078.974, 4162.692, 4087.051
1722050958.6909,2024-07-26 20:29:18.690,104,false,0.0,4199.615, 4319.359, 4076.795, 4162.308, 4091.795
1722050958.6987,2024-07-26 20:29:18.698,105,false,0.0,4206.539, 4325.256, 4080.513, 4170.897, 4086.667
1722050958.7065,2024-07-26 20:29:18.706,106,false,0.0,4215.256, 4363.59, 4096.026, 4170.641, 4095.769
1722050958.7143,2024-07-26 20:29:18.714,107,false,0.0,4218.333, 4356.41, 4090.897, 4162.308, 4107.18
1722050958.7221,2024-07-26 20:29:18.722,108,false,0.0,4216.539, 4323.59, 4073.974, 4156.923, 4093.333
1722050958.7299,2024-07-26 20:29:18.729,109,false,0.0,4217.436, 4333.718, 4077.564, 4153.718, 4088.718
1722050958.7377,2024-07-26 20:29:18.737,110,false,0.0,4212.308, 4346.795, 4080.385, 4150.641, 4101.795
