time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress,Timestamp,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/10 02:44:32,1,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/10 02:44:32,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/10 02:44:32,3,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/10 02:44:32,4,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,5,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,6,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,7,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,8,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,9,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,10,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,11,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,12,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,13,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/11 15:09:04,14,0,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,15,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,16,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,17,4,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,18,4,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,19,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,20,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,21,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,22,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,23,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,24,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,25,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,26,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,27,2,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,28,2,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,29,0,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/13 03:33:36,30,0,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,31,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,32,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,33,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,34,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,35,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,36,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/05/14 15:58:08,37,0,3,0
