time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress,Timestamp,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/06 18:16:48,1,2,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/06 18:16:48,2,3,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/06 18:16:48,3,2,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/06 18:16:48,4,2,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/06 18:16:48,5,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,6,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,7,4,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,8,4,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,9,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,10,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,11,4,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,12,4,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,13,3,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,14,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,15,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,16,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,17,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,18,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,19,4,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/08 06:41:20,20,4,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,21,3,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,22,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,23,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,24,4,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,25,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,26,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,27,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,28,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,29,4,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,30,4,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,31,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,32,4,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,33,2,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,34,2,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/09 19:05:52,35,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,36,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,37,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,38,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,39,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,40,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,+56538/07/11 07:30:24,41,3,1,1
